,ISO,Country / Region,Disease,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
British Virgin Islands – VGB  ,VGB,British Virgin Islands,Measles,,0,0,0,0,,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Brunei – BRN  ,BRN,Brunei Darussalam,Measles,,0,1,0,0,0,1,1,0,1,4,1,,1,4,0,2,3,,,9,16,24,,11,42,23,12,13,,,,50,51,,12
Bulgaria – BGR  ,BGR,Bulgaria,Measles,,27,0,1,0,257,1 231,13,165,1,0,0,14,1,157,22 004,2 249,1,1,1,3,0,0,0,8,46,24,80,23,695,172,121,354,20 258,2 028,147
Burkina Faso – BFA  ,BFA,Burkina Faso,Measles,,4 397,680,252,,2 480,672,4 072,49,226,99,343,375,7 362,860,2 511,54 118,395,12,125,253,77,2 946,1 744,4 174,6 074,5 516,,1 438,18 534,5 669,2 925,14 445,21 751,6 590,9 804
Burundi – BDI  ,BDI,Burundi,Measles,,2 741,1 684,212,369,1 700,112,9,18,16,9,0,0,49,129,495,305,173,43,784,0,2,224,1 016,,18 363,2 928,1 449,1 273,16 099,14 782,7 192,23 869,22 344,10 397,13 282
Cabo Verde – CPV  ,CPV,Cabo Verde,Measles,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,289,8 584,0,10,30,0,1,7,0
Cambodia – KHM  ,KHM,Cambodia,Measles,,666,11,13,5,379,684,3,10,56,0,0,0,15,722,1 156,4 779,4 211,394,188,264,352,653,1 361,3 761,12 237,13 827,1 993,3 826,2 814,2 038,946,1 262,2 759,2 186,2 473
Cameroon – CMR  ,CMR,Cameroon,Measles,,863,6 105,3 217,771,1 509,2 809,814,712,338,1 809,831,760,609,504,240,251,495,100,196,605,358,899,1 448,23 934,14 629,10 894,10 731,7 504,11 770,2 463,1 548,10 892,27 442,14 622,21 150
Canada – CAN  ,CAN,Canada,Measles,,147,12,3,0,1,113,28,45,11,195,418,83,10,803,99,14,62,101,13,6,7,15,6,34,206,29,12,579,327,2 361,523,203,2 742,6 178,1 033
Cayman Islands – CYM  ,CYM,Cayman Islands,Measles,,0,0,0,0,0,,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic – CAF  ,CAF,Central African Republic,Measles,,125,3 841,155,286,3 433,3 390,224,801,367,150,210,596,141,679,2,11,12,49,3,471,1 233,652,938,2 837,3 207,600,146,194,248,902,,1 694,3 022,3 644,1 275
Chad – TCD  ,TCD,Chad,Measles,,6 978,11 862,2 158,2 577,2 170,1 882,1 457,9,118,418,1 275,226,120,8 650,194,165,63,441,1 594,2,10 324,15 801,7 277,24 908,3 546,6 868,12 371,10 446,24 162,21 952,9 696,20 894,19 035,21 182,7 226
Chile – CHL  ,CHL,Chile,Measles,,0,1,0,0,2,11,24,0,0,9,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,31,6,58,0,0,0,1,1,2 098,1 958
China – CHN  ,CHN,China,Measles,,1 272,621,552,554,867,2 974,3 940,5 941,24 820,42 361,52 628,26 883,6 183,9 943,38 159,52 461,131 441,109 023,99 602,124 219,70 549,71 879,58 341,88 962,71 093,61 840,53 030,79 621,68 404,53 232,76 204,117 851,140 048,123 428,85 705
Hong Kong – HKG  ,HKG,China  Hong Kong SAR,Measles,,9,4,3,1,1,90,17,4,9,18,50,8,8,13,13,22,69,88,,,,33,,179,60,32,56,318,110,33,210,29,329,278,48
Macao – MAC  ,MAC,China  Macao SAR,Measles,,0,0,0,0,0,37,3,2,0,0,,1,1,1,,0,4,0,,0,0,3,,3,5,1,0,3,,3,52,21,35,1,19
Colombia – COL  ,COL,Colombia,Measles,,0,0,0,0,1,244,208,0,0,1,0,1,1,6,0,0,0,0,0,0,0,0,139,3,1,44,61,67,160,410,525,9 105,7 976,10 391,12 520
Comoros – COM  ,COM,Comoros,Measles,,17,51,4,0,0,65,0,0,0,0,0,0,1,3,0,1,0,0,85,912,0,0,0,,,0,0,0,0,0,2,0,0,0,2 328
Congo – COG  ,COG,Congo,Measles,,483,385,6 718,160,37,66,28,958,277,1 359,71,124,260,315,4,1,2,84,126,146,3 524,3 712,2 788,2 152,1 678,313,174,1 267,3 897,2 381,226,693,4 302,4 042,3 608
Cook Islands – COK  ,COK,Cook Islands,Measles,,,,,,,0,0,,,,,,0,0,0,0,0,1,6,0,0,17,0,0,2,0,9,194,0,7,0,3,9,61,36
Costa Rica – CRI  ,CRI,Costa Rica,Measles,,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,,1,0,1,0,0,0,23,27,26,24,35,0,273,2 361,6 296,76
Croatia – HRV  ,HRV,Croatia,Measles,,33,3,0,0,0,52,23,7,4,206,,0,2,12,7,2,51,0,1,2,54,19,6,8,9,31,648,240,119,697,138,87,160,117,119
Cuba – CUB  ,CUB,Cuba,Measles,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,17,12
Curaçao – CUW  ,CUW,Curaçao,Measles,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus – CYP  ,CYP,Cyprus,Measles,,28,0,0,1,1,6,15,3,0,0,10,0,1,0,18,0,1,0,0,1,0,0,0,,0,0,1,1,55,0,0,0,20,1,4
Czechia – CZE  ,CZE,Czechia,Measles,,35,1,0,0,4,590,207,142,7,9,222,15,22,17,0,5,2,2,7,0,17,30,4,6,9,2,19,14,10,5,9,14,416,839,2 420
Côte d'Ivoire – CIV  ,CIV,Côte d'Ivoire,Measles,,1 872,1 361,1 596,1 837,600,372,453,163,45,65,50,48,137,628,441,183,12,5,11,115,3 466,4 770,5 882,5 790,5 729,4 824,12 289,9 665,20 858,30 039,,7 465,14 765,9 902,17 799
North Korea – PRK  ,PRK,Democratic People's Republic of Korea,Measles,,0,0,0,,0,,0,0,0,0,3,0,0,0,0,0,8,3 550,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
DR Congo – COD  ,COD,Democratic Republic of the Congo,Measles,,109 419,311 500,4 380,54 471,82 290,333 017,69 693,45 107,5 092,5 020,33 711,88 381,72 029,133 802,5 407,57,12 461,55 577,80 123,182 485,44 934,21 956,30 466,8 072,8 282,12 135,15 271,5 766,9 546,5 443,12 573,2 749,63,,4 564
Denmark – DNK  ,DNK,Denmark,Measles,,25,9,0,0,4,15,8,4,3,9,27,17,2,84,5,6,14,2,27,2,0,0,32,11,14,,,61,119,20,36,115,129,162,180
Djibouti – DJI  ,DJI,Djibouti,Measles,,60,446,206,0,,,28,3,8,47,,28,709,49,7,48,143,24,49,298,71,37,50,79,183,341,198,,410,8,,37,129,13,104
Dominica – DMA  ,DMA,Dominica,Measles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13
Dominican Republic – DOM  ,DOM,Dominican Republic,Measles,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,113,253,274,14,1,0,0,3,4 637,7 650,7 512,3 477
Ecuador – ECU  ,ECU,Ecuador,Measles,,0,0,0,0,0,0,19,0,1,0,0,0,72,257,0,0,1,0,0,0,0,0,0,2,0,0,0,0,42,919,3 668,3 627,4 356,1 585,1 646
Egypt – EGY  ,EGY,Egypt,Measles,,91,267,14,0,3,0,48,24,225,5 432,1 314,405,245,26,16,608,668,1 684,953,77,80,164,653,2 150,2 633,1 547,4 868,4 606,4 403,1 833,1 444,2 874,4 403,1 231,887
El Salvador – SLV  ,SLV,El Salvador,Measles,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,38,509,0,0
Equatorial Guinea – GNQ  ,GNQ,Equatorial Guinea,Measles,,463,270,49,43,53,0,0,1,1 699,1 250,13,321,1 190,0,0,78,436,5,0,,38,18,24,1 339,,,,0,1,44,270,157,297,32,32
Eritrea – ERI  ,ERI,Eritrea,Measles,,10,54,28,25,12,6,70,1 199,142,198,127,45,194,48,51,82,0,55,128,19,24,376,460,204,789,320,316,777,1 783,185,541,267,,,
Estonia – EST  ,EST,Estonia,Measles,,4,4,0,0,0,27,10,1,2,4,0,2,4,7,0,0,0,1,27,2,0,0,0,0,9,12,17,18,19,17,230,312,71,129,33
Eswatini – SWZ  ,SWZ,Eswatini,Measles,,0,3,64,0,0,0,0,0,1,0,0,0,0,0,313,26,1,0,0,0,0,350,37,49,10,0,180,609,2 201,171,610,7 148,2 042,1 467,1 465
Ethiopia – ETH  ,ETH,Ethiopia,Measles,,31 044,24 038,9 292,1 953,1 952,3 998,1 752,1 921,4 579,17 745,12 739,5 253,4 347,3 255,4 235,1 176,3 511,1 446,1 451,357,73,228,3 332,2 366,1 660,5 329,1 603,1 113,1 586,562,1 133,1 152,4 815,497,1 836
Fiji – FJI  ,FJI,Fiji,Measles,,,,,,,28,0,,5,,,,0,,0,1,0,0,136,,37,305,304,17,,,,828,39,414,39,425,969,,32
Finland – FIN  ,FIN,Finland,Measles,,2,1,0,3,4,12,15,11,4,2,,2,,27,5,2,5,0,0,1,0,0,0,1,,,1,0,0,6,1,0,5,8,3
France – FRA  ,FRA,France,Measles,,483,117,15,16,240,2 637,2 921,519,79,157,267,272,,14 949,5 048,1 541,604,39,40,36,4 448,,5 185,,10 000,,,80 000,66 000,54 239,44 005,77 232,109 548,156 849,
French Polynesia – PYF  ,PYF,French Polynesia,Measles,,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,,,,3,,13,0,518,387,7,95,21,22,31,30
Gabon – GAB  ,GAB,Gabon,Measles,,32,1 167,1 293,134,9,2,1,1 075,1 509,27,33,122,2,2,1,0,3,0,90,0,63,,110,5 129,15,,,,70,,,958,1 245,,738
Gambia – GMB  ,GMB,Gambia,Measles,,8,38,58,0,,1,4,1,45,71,1,0,0,0,2,0,0,0,0,0,0,119,32,99,336,856,,1 500,15,130,280,912,364,164,
Georgia – GEO  ,GEO,Georgia,Measles,,350,39,12,5,20,3 918,2 199,94,14,431,3 188,7 872,31,64,22,23,56,44,334,1 356,6 847,216,199,35,50,144,218,342,304,181,723,409,115,352,
Germany – DEU  ,DEU,Germany,Measles,,645,79,15,10,76,514,543,929,326,2 464,443,1 771,166,1 607,780,574,917,567,2 307,778,121,779,4 657,6 024,,,,,,,,,,,
Ghana – GHA  ,GHA,Ghana,Measles,,1 944,2 282,395,52,88,1 274,34,19,32,23,124,319,1 613,120,641,101,82,6,420,435,60,1 939,12 289,13 476,23 068,15 987,23 335,37 261,34 273,40 276,34 821,34 641,39 933,17 135,32 246
Greece – GRC  ,GRC,Greece,Measles,,38,0,0,0,3,45,2 291,968,0,1,1,3,3,40,149,2,1,2,,122,1,,5,12,56,69,66,136,6 082,112,163,503,3 448,1 371,245
Grenada – GRD  ,GRD,Grenada,Measles,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,6
Guam – GUM  ,GUM,Guam,Measles,,0,0,,,,0,0,0,0,0,,0,0,1,0,0,0,0,,0,2,7,,0,0,1,0,0,0,0,228,25,4,62,1
Guatemala – GTM  ,GTM,Guatemala,Measles,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,23,204,17,97,209,8 802
Guinea – GIN  ,GIN,Guinea,Measles,,577,94,417,505,506,4 555,482,2 036,316,243,175,53,6,11,45,264,89,3,4,99,10,2 497,2 151,7 408,11 294,18 004,9 170,10 170,10 292,1 085,2 372,5 228,1 617,6 708,12 756
Guinea-Bissau – GNB  ,GNB,Guinea-Bissau,Measles,,0,5,213,,22,60,28,11,0,153,1,0,0,0,26,0,12,1,0,0,3 526,1 158,298,126,,472,,498,73,528,378,1 707,842,2 396,259
Guyana – GUY  ,GUY,Guyana,Measles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
Haiti – HTI  ,HTI,Haiti,Measles,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,992,0,3,0,1,,,,,,1 414
Honduras – HND  ,HND,Honduras,Measles,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,13,58,95,8 360
Hungary – HUN  ,HUN,Hungary,Measles,,18,1,0,0,0,23,14,36,0,0,0,1,2,5,0,1,0,0,1,2,0,0,0,20,1,1,23,24,12,4,11,33,14,16,29
Iceland – ISL  ,ISL,Iceland,Measles,,2,0,0,0,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,1,2,7,8,8,10,14
India – IND  ,IND,India,Measles,,18 530,65 150,40 967,5 700,5 604,10 430,19 474,12 032,17 250,30 168,26 530,8 285,3 305,33 634,31 458,56 188,44 258,41 144,64 185,36 711,55 443,47 147,40 044,51 780,38 835,21 013,33 990,61 004,47 072,37 494,50 518,50 391,71 798,77 859,89 612
Indonesia – IDN  ,IDN,Indonesia,Measles,,6 328,18 063,7 704,394,524,1 965,5 300,9 035,6 962,15 099,12 943,8 419,15 489,21 893,18 869,20 818,15 369,19 456,20 422,15 853,29 171,24 457,14 492,3 825,3 344,4 767,1 034,15 313,35 383,37 693,48 147,63 751,80 580,90 358,92 105
Iran – IRN  ,IRN,Iran (Islamic Republic of),Measles,,449,648,230,103,4,20,203,51,82,615,99,189,332,73,538,262,127,133,220,7,3,11 644,9 554,9 582,11 874,4 137,2 869,3 901,2 329,263,506,4 616,5 028,6 034,5 341
Iraq – IRQ  ,IRQ,Iraq,Measles,,32 494,12 331,12,197,,3 799,489,41,37,1 433,1 317,669,15,15,492,30 328,5 494,230,474,908,9 081,,,4 088,726,9 920,43 735,708,256,7 650,10 657,16 339,20 106,11 358,3 045
Ireland – IRL  ,IRL,Ireland,Measles,,207,4,2,0,15,65,76,25,43,4,33,51,107,285,443,164,57,64,87,95,334,584,243,241,,147,204,185,228,235,1 233,4 328,179,135,556
Israel – ISR  ,ISR,Israel,Measles,,,,0,0,6,1 139,3 177,42,8,80,6,50,211,70,23,5,931,539,9,2,116,124,2,19,36,14,8,12,19,22,1 555,141,66,991,230
Italy – ITA  ,ITA,Italy,Measles,,1 045,44,15,9,103,1 623,2 682,4 042,,159,,,376,5 189,372,351,1 617,321,439,135,599,10 982,9 385,,1 457,2 908,4 072,41 254,32 596,37 131,6 158,16 890,65 013,23 458,5 223
Jamaica – JAM  ,JAM,Jamaica,Measles,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,15,0,0,0,308,3 651
Japan – JPN  ,JPN,Japan,Measles,,45,,,6,12,742,279,187,165,35,462,229,228,434,450,741,11 015,,520,,8 752,8 286,33 812,22 552,22 497,,899,,1 640,,,2 002,,5 452,3 259
Jordan – JOR  ,JOR,Jordan,Measles,,14,,457,,0,48,0,0,0,0,20,120,3,0,0,0,2,41,1,28,21,76,19,61,32,115,428,7 026,448,318,516,2 985,1 071,143,290
Kazakhstan – KAZ  ,KAZ,Kazakhstan,Measles,,28 147,15 111,4,2,3 270,13 326,576,2,122,526,321,73,55,127,4,0,20,13,109,16 118,2 204,24,18,94,245,1 391,1 935,120,123,284,1 788,3 297,647,1 425,273
Kenya – KEN  ,KEN,Kenya,Measles,,1 417,896,1 774,266,597,439,822,63,128,95,354,190,,2 395,95,1 218,1 282,1 516,1 847,153,20,65,766,11 304,21 002,8 601,9 262,3 339,3 572,3 322,4 180,961,65 004,59 937,77 072
Kiribati – KIR  ,KIR,Kiribati,Measles,,0,,,1,0,3,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,2,355,25,13,4,292,114,4 357,8,30
Kosovo – XKX   or KSV,XKX,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Measles,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait – KWT  ,KWT,Kuwait,Measles,,7,6,7,3,,12,42,18,8,18,55,62,27,32,13,,,,,10,23,,,,6,13,90,26,15,12,432,260,383,165,71
Kyrgyzstan – KGZ  ,KGZ,Kyrgyzstan,Measles,,14 380,7 046,,3,,2 380,1 007,5,0,17 779,318,1,0,222,0,1,16,40,27,53,8,6,2,17,16,478,2 397,998,74,17,168,3 825,815,824,584
Laos – LAO  ,LAO,Lao People's Democratic Republic,Measles,,1,2,0,2,138,1 119,10,3,8,56,339,71,32,113,153,78,174,1 678,58,295,1 491,1 810,2 070,94,332,2 302,4 613,671,917,3 174,984,1 083,520,1 400,2 168
Latvia – LVA  ,LVA,Latvia,Measles,,0,1,0,0,0,3,25,0,0,0,36,0,3,1,0,0,3,0,7,2,0,,,1,0,0,3,4,3,2,10,54,248,6,21
Lebanon – LBN  ,LBN,Lebanon,Measles,,74,346,,,15,1 047,944,126,44,39,112,1 761,9,9,12,22,24,373,956,618,213,526,36,8,5,8,966,134,2,3,51,396,13,,
Lesotho – LSO  ,LSO,Lesotho,Measles,,2,17,3,368,39,464,7,0,0,0,0,516,179,172,2 488,0,0,2,1,,31,1,0,217,660,944,,0,,304,573,235,1 816,2 351,2 195
Liberia – LBR  ,LBR,Liberia,Measles,,1 053,4 604,8 300,250,884,1 203,3 781,960,789,1 060,34,0,43,279,2 200,6,1,1,20,8,4,142,131,1 379,5 977,1 679,1 436,2 961,1 938,56,571,6 398,5 776,,
Libya – LBY  ,LBY,Libya,Measles,,207,257,32,,,188,1 082,8,32,82,372,,320,,,329,8,59,1,292,2 771,,3 890,633,,,50,26,,,1 127,733,3 691,1 695,931
Lithuania – LTU  ,LTU,Lithuania,Measles,,30,3,0,0,2,834,30,2,22,50,11,35,0,7,2,0,1,0,1,1,1,1,103,7,19,23,18,30,35,188,286,249,200,143,
Luxembourg – LUX  ,LUX,Luxembourg,Measles,,3,0,0,0,0,24,4,4,0,0,,0,2,6,0,0,1,0,8,,0,1,,,0,,,1,25,1,1,4,48,1,16
Madagascar – MDG  ,MDG,Madagascar,Measles,,104,355,80,44,777,213 231,21 420,11,5,3,3,6,2,0,1,0,3,0,2,,35 558,62 233,10 795,9 357,35 256,35 196,15 510,13 865,5 961,11 731,14 164,6 060,1 846,5 824,14 459
Malawi – MWI  ,MWI,Malawi,Measles,,958,173,29,5,76,17,1,4,0,0,3,1,11,26,118 712,21,20,143,1,184,1 116,167,92,150,304,152,3 591,10 845,9 120,4 218,2 164,3 614,32 177,5 730,
Malaysia – MYS  ,MYS,Malaysia,Measles,,3 791,2 002,209,128,478,1 077,1 981,1 709,1 569,1 318,221,195,1 868,1 569,73,153,334,394,564,1 407,5 729,632,408,2 198,6 187,2 576,483,627,460,654,346,542,363,275,563
Maldives – MDV  ,MDV,Maldives,Measles,,2,5,0,0,15,0,1,1,0,0,0,0,0,0,0,6,0,20,47,1 395,37,75,926,0,20,,0,,0,3 070,706,61,0,0,0
Mali – MLI  ,MLI,Mali,Measles,,368,364,765,2 074,498,454,499,26,107,215,290,221,341,24,1 719,2 939,98,2,128,33,172,232,717,4 464,1 578,2 506,10 240,3 531,10 995,3 306,3 420,10 595,7 830,13 473,1 388
Malta – MLT  ,MLT,Malta,Measles,,10,0,0,1,2,30,6,0,0,2,0,,,3,0,1,1,2,1,6,4,4,7,2,2,1,3,5,16,27,8,3,43,8,6
Marshall Islands – MHL  ,MHL,Marshall Islands,Measles,,0,0,,0,,,,,,,,,0,0,0,0,,0,0,0,0,1 127,0,0,0,0,0,0,0,,0,9,10,19,14
Mauritania – MRT  ,MRT,Mauritania,Measles,,1 107,339,96,249,0,196,77,63,13,1,14,62,35,234,1 292,322,4,11,22,127,5 039,3 611,883,1 398,,5 263,1 303,499,,195,2 668,5 754,4 990,4 601,1 379
Mauritius – MUS  ,MUS,Mauritius,Measles,,0,0,0,0,,98,,0,0,,0,0,0,2,12,15,12,13,3,7,28,777,,0,0,0,,0,0,6,10,88,7,0,1
Mexico – MEX  ,MEX,Mexico,Measles,,7,0,0,0,196,0,5,0,0,0,3,0,0,3,0,0,0,0,23,6,64,44,0,3,30,0,0,0,2,244,128,172,533,5 077,68 782
Micronesia – FSM  ,FSM,Micronesia (Federated States of),Measles,,,1,1,,,0,0,0,0,0,140,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,,0,930,0,41,0,1
Monaco – MCO  ,MCO,Monaco,Measles,,2,0,,0,,1,0,1,,,,,5,,,,,,,,,0,,,,,0,,,,,,160,,0
Mongolia – MNG  ,MNG,Mongolia,Measles,,12,0,46,,0,2,1,9,30 273,20 359,0,0,0,0,7,8,31,12,26,0,0,18,1 205,10 677,925,10,8,4,128,555,177,71,1 069,656,296
Montenegro – MNE  ,MNE,Montenegro,Measles,,35,0,0,0,0,0,200,0,0,,,0,0,5,5,0,0,0,0,,,,,,,,,,,,,,,,
Montserrat – MSR  ,MSR,Montserrat,Measles,,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0
