ISO,Country / Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
COM,Comoros,,17.0,51.0,4.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,85.0,912.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2328.0
COG,Congo,,483.0,385.0,6718.0,160.0,37.0,66.0,28.0,958.0,277.0,1359.0,71.0,124.0,260.0,315.0,4.0,1.0,2.0,84.0,126.0,146.0,3524.0,3712.0,2788.0,2152.0,1678.0,313.0,174.0,1267.0,3897.0,2381.0,226.0,693.0,4302.0,4042.0,3608.0
COK,Cook Islands,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,9.0,194.0,0.0,7.0,0.0,3.0,9.0,61.0,36.0
CRI,Costa Rica,,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,23.0,27.0,26.0,24.0,35.0,0.0,273.0,2361.0,6296.0,76.0
HRV,Croatia,,33.0,3.0,0.0,0.0,0.0,52.0,23.0,7.0,4.0,206.0,,0.0,2.0,12.0,7.0,2.0,51.0,0.0,1.0,2.0,54.0,19.0,6.0,8.0,9.0,31.0,648.0,240.0,119.0,697.0,138.0,87.0,160.0,117.0,119.0
CUB,Cuba,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,17.0,12.0
CUW,Curaçao,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,,28.0,0.0,0.0,1.0,1.0,6.0,15.0,3.0,0.0,0.0,10.0,0.0,1.0,0.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,55.0,0.0,0.0,0.0,20.0,1.0,4.0
CZE,Czechia,,35.0,1.0,0.0,0.0,4.0,590.0,207.0,142.0,7.0,9.0,222.0,15.0,22.0,17.0,0.0,5.0,2.0,2.0,7.0,0.0,17.0,30.0,4.0,6.0,9.0,2.0,19.0,14.0,10.0,5.0,9.0,14.0,416.0,839.0,2420.0
CIV,Côte d'Ivoire,,1872.0,1361.0,1596.0,1837.0,600.0,372.0,453.0,163.0,45.0,65.0,50.0,48.0,137.0,628.0,441.0,183.0,12.0,5.0,11.0,115.0,3466.0,4770.0,5882.0,5790.0,5729.0,4824.0,12289.0,9665.0,20858.0,30039.0,,7465.0,14765.0,9902.0,17799.0
