CODE,NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
UZB,Uzbekistan,,,84.0,82.0,71.0,91.0,95.0,96.0,95.0,96.0,99.0,99.0,97.0,99.0,98.0,99.0,98.0,98.0,98.0,95.0,98.0,99.0,99.0,97.0,99.0,99.0,99.0,99.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0
VCT,Saint Vincent and the Grenadines,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,87.0,96.0,98.0,99.0,94.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0,97.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,90.0,99.0
VEN,Venezuela (Bolivarian Republic of),61.0,63.0,61.0,62.0,94.0,47.0,64.0,68.0,92.0,84.0,84.0,98.0,83.0,83.0,80.0,76.0,82.0,87.0,93.0,87.0,79.0,86.0,87.0,85.0,89.0,92.0,88.0,96.0,74.0,93.0,76.0,68.0,52.0,68.0,71.0
VNM,Viet Nam,88.0,88.0,90.0,93.0,96.0,95.0,96.0,96.0,96.0,94.0,97.0,98.0,96.0,93.0,97.0,95.0,93.0,83.0,92.0,97.0,98.0,96.0,96.0,98.0,97.0,97.0,99.0,97.0,97.0,95.0,97.0,89.0,88.0,82.0,98.0
VUT,Vanuatu,66.0,63.0,66.0,74.0,53.0,60.0,61.0,65.0,64.0,62.0,61.0,60.0,58.0,57.0,56.0,54.0,53.0,56.0,62.0,65.0,71.0,75.0,80.0,84.0,90.0,76.0,84.0,80.0,75.0,80.0,78.0,50.0,70.0,70.0,61.0
WSM,Samoa,89.0,77.0,90.0,92.0,94.0,96.0,96.0,99.0,99.0,91.0,93.0,92.0,99.0,62.0,25.0,57.0,54.0,63.0,44.0,45.0,56.0,59.0,76.0,92.0,85.0,75.0,75.0,67.0,40.0,96.0,66.0,62.0,82.0,87.0,85.0
YEM,Yemen,69.0,53.0,46.0,51.0,31.0,40.0,43.0,41.0,66.0,74.0,70.0,72.0,62.0,64.0,74.0,73.0,65.0,71.0,69.0,65.0,68.0,66.0,63.0,68.0,64.0,61.0,62.0,56.0,53.0,54.0,53.0,51.0,53.0,45.0,41.0
ZAF,South Africa,79.0,85.0,85.0,85.0,76.0,76.0,76.0,82.0,79.0,75.0,72.0,69.0,65.0,62.0,63.0,64.0,69.0,68.0,73.0,77.0,72.0,77.0,79.0,78.0,84.0,86.0,84.0,81.0,81.0,83.0,84.0,87.0,86.0,80.0,76.0
ZMB,Zambia,90.0,80.0,85.0,91.0,96.0,86.0,86.0,86.0,86.0,85.0,85.0,84.0,84.0,84.0,85.0,85.0,85.0,93.0,87.0,90.0,96.0,83.0,82.0,80.0,85.0,90.0,97.0,96.0,94.0,93.0,96.0,90.0,88.0,83.0,88.0
ZWE,Zimbabwe,87.0,87.0,86.0,86.0,87.0,87.0,88.0,84.0,79.0,77.0,75.0,73.0,70.0,68.0,66.0,67.0,68.0,69.0,70.0,76.0,90.0,92.0,97.0,93.0,92.0,86.0,95.0,90.0,88.0,85.0,85.0,88.0,90.0,90.0,90.0
