CODE,NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CIV,Côte d'Ivoire,56.0,57.0,54.0,52.0,55.0,57.0,65.0,68.0,66.0,57.0,68.0,71.0,71.0,70.0,78.0,84.0,73.0,67.0,63.0,67.0,64.0,49.0,74.0,70.0,59.0,67.0,73.0,70.0,74.0,71.0,63.0,65.0,62.0,70.0,75.0
CMR,Cameroon,56.0,48.0,37.0,32.0,38.0,46.0,39.0,43.0,47.0,46.0,49.0,51.0,53.0,61.0,64.0,68.0,73.0,74.0,80.0,74.0,79.0,76.0,74.0,71.0,71.0,71.0,72.0,67.0,61.0,61.0,63.0,65.0,68.0,71.0,71.0
COD,Democratic Republic of the Congo,38.0,17.0,25.0,33.0,39.0,27.0,21.0,20.0,20.0,15.0,26.0,34.0,41.0,48.0,57.0,61.0,63.0,64.0,64.0,65.0,66.0,66.0,69.0,68.0,69.0,65.0,63.0,65.0,64.0,65.0,62.0,55.0,56.0,52.0,55.0
COG,Congo,75.0,64.0,60.0,55.0,47.0,38.0,42.0,18.0,21.0,23.0,34.0,35.0,37.0,50.0,65.0,54.0,61.0,59.0,69.0,63.0,75.0,83.0,80.0,80.0,80.0,80.0,67.0,70.0,75.0,73.0,68.0,68.0,65.0,65.0,72.0
COK,Cook Islands,67.0,94.0,87.0,99.0,72.0,96.0,72.0,88.0,97.0,84.0,76.0,83.0,95.0,99.0,99.0,99.0,99.0,98.0,95.0,78.0,99.0,89.0,97.0,97.0,98.0,99.0,90.0,98.0,99.0,99.0,87.0,74.0,61.0,84.0,99.0
COL,Colombia,82.0,78.0,74.0,94.0,84.0,95.0,90.0,80.0,78.0,79.0,88.0,93.0,93.0,93.0,92.0,94.0,95.0,95.0,92.0,95.0,88.0,88.0,94.0,92.0,91.0,94.0,93.0,93.0,95.0,95.0,90.0,86.0,88.0,93.0,93.0
COM,Comoros,87.0,40.0,51.0,56.0,59.0,69.0,43.0,49.0,67.0,69.0,70.0,70.0,71.0,67.0,76.0,67.0,66.0,65.0,76.0,79.0,72.0,79.0,85.0,82.0,80.0,81.0,77.0,75.0,74.0,76.0,75.0,68.0,71.0,70.0,70.0
CPV,Cabo Verde,79.0,76.0,82.0,88.0,87.0,85.0,84.0,83.0,84.0,85.0,86.0,88.0,89.0,90.0,91.0,93.0,94.0,96.0,97.0,97.0,97.0,96.0,91.0,91.0,93.0,92.0,93.0,96.0,99.0,98.0,95.0,95.0,95.0,95.0,95.0
CRI,Costa Rica,90.0,96.0,92.0,89.0,87.0,91.0,84.0,99.0,83.0,88.0,82.0,82.0,94.0,89.0,88.0,89.0,90.0,90.0,89.0,81.0,83.0,83.0,90.0,91.0,95.0,93.0,93.0,96.0,94.0,95.0,95.0,89.0,90.0,93.0,93.0
CUB,Cuba,94.0,99.0,99.0,96.0,99.0,99.0,99.0,96.0,99.0,96.0,94.0,96.0,98.0,99.0,99.0,98.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0
CYP,Cyprus,77.0,78.0,80.0,81.0,82.0,83.0,90.0,90.0,89.0,87.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,90.0,90.0,90.0,90.0,86.0,86.0,86.0,84.0,82.0,99.0
CZE,Czechia,,,,98.0,97.0,96.0,97.0,96.0,95.0,97.0,97.0,97.0,98.0,97.0,97.0,97.0,97.0,98.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,97.0,96.0,92.0,94.0,97.0,97.0,87.0,89.0
DEU,Germany,75.0,75.0,75.0,89.0,90.0,92.0,91.0,91.0,92.0,92.0,92.0,94.0,94.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,96.0,96.0,96.0
DJI,Djibouti,85.0,53.0,41.0,41.0,42.0,41.0,41.0,31.0,21.0,23.0,50.0,49.0,62.0,66.0,60.0,65.0,67.0,74.0,73.0,84.0,85.0,84.0,83.0,80.0,71.0,74.0,75.0,81.0,86.0,83.0,62.0,50.0,50.0,76.0,75.0
DMA,Dominica,88.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,99.0,99.0,99.0,99.0,99.0,93.0,94.0,96.0,96.0,77.0,84.0,92.0,92.0,88.0,87.0,84.0,80.0
