Scottish Vacant and Derelict Land Survey (SVDLS) Site Register 2024,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,
The table is a register of vacant and derelict sites and includes a variety of information about those sites in 2024.,,,,,,,,,,,,, ,
"Total sites on the register number 3,154 and include 93 urban vacant sites in settlements with a population under 2,000.
These 93 sites are not included in the main figures in the SVDLS 2024 statistical publication but are reported separately in Annex Table 2.",,,,,,,,,,,,,,
Go to Background and Notes,,,,,,,,,,,,,,
Go to Variables in Register,,,,,,,,,,,,,,
Go to Contact Details,,,,,,,,,,,,,,
Planning Authority ,Site Code,Site Name (If Supplied),Address (If Supplied),East,North,Site Size (Hectares),Site Type,Location of Site,Owner 1,Owner 2,Period when site became Vacant or Derelict,Previous Use of Site,Development Potential,Datazone
Aberdeen City,2024-3,PETERSEAT DRIVE 2,PETERSEAT DRIVE ALTENS ABERDEEN,396010,803518,1.45,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Unknown (uncertain/insufficient information),S01006623
Aberdeen City,2024-4,PETERSEAT DRIVE 3,PETERSEAT DRIVE ALTENS ABERDEEN,396100,803350,2.6,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Unknown (uncertain/insufficient information),S01006623
Aberdeen City,2024-5,BEACH LEISURE CENTRE/SWIMMING POOL,BEACH ESPLANADE ABERDEEN,395235,807220,1.44,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Recreation & Leisure,Developable - Medium Term,S01006666
Aberdeen City,2024-6,FORMER PRESS AND JOURNAL OFFICES,LANG STRACHT KINGSWELLS ABERDEEN,390391,806787,1,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Offices,Developable - Medium Term,S01006703
Aberdeen City,2024-7,FORMER SHELL BUILDING,1 ALTENS FARM ROAD ALTENS ABERDEEN,394823,803128,10.74,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2022,Transport,Developable - Medium Term,S01006623
Aberdeen City,2024-8,MUIRFIELD HOUSE,WHITEMYRES AVENUE KINGSWELLS ABERDEEN,390259,806923,0.24,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2024,Offices,Developable - Short Term,S01006703
Aberdeen City,2024-9,FORMER STONEYWOOD PAPERMILL,STONEYWOOD TERRACE STONEYWOOD ABERDEEN,389731,810839,15.38,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2022,Manufacturing,Unknown (uncertain/insufficient information),S01006743
Aberdeen City,6427L17023,RUBISLAW QUARRY,QUEENS ROAD/HILL OF RUBISLAW ABERDEEN,391100,805450,4.39,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Mineral Activity,Unknown (uncertain/insufficient information),S01006549
Aberdeen City,9619,ABBEY ROAD NORTH,TORRY ABERDEEN,395391,805259,1.47,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Storage,Unknown (uncertain/insufficient information),S01006631
Aberdeenshire,ABERCHIRDER1,FORMER SHOWROOM AND YARD,SOUTH STREET ABERCHIRDER,362454,852223,0.3,Vacant Land and Buildings,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Retailing,Developable - Medium Term,S01007031
Aberdeenshire,ALF1,FORMER ALFORD ACADEMY,SCHOOL ROAD ALFORD,357444,815791,3.15,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2016,Education,Developable - Short Term,S01006885
Aberdeenshire,AUCHGT1,FORMER STATION YARD,AUCHNAGGAT,392978,841955,0.25,Derelict,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),2008,Transport,Developable - Medium Term,S01007062
Aberdeenshire,BANC1,GLEN O'DEE HOSPITAL,GLEN O'DEE HOSPITAL BANCHORY,368522,796706,1.09,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Community & Health,Developable - Short Term,S01006872
Aberdeenshire,BANC2,HILL OF BANCHORY,HILL OF BANCHORY BANCHORY,371399,796976,2.62,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Forestry/Woodland,Developable - Short Term,S01006861
Aberdeenshire,BANC3,FORMER NURSES HOME,GLEN O'DEE BANCHORY,368478,796579,0.15,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01006872
Aberdeenshire,BANFF2,FORMER CHICKEN FACTORY,TANNERY STREET BANFF,368299,864076,1.73,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2016,Manufacturing,Developable - Medium Term,S01007033
Aberdeenshire,BFRA/V/018,ADJ WATERMILL BAR,WATERMILL FRASERBURGH,398038,866599,0.32,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Unknown (uncertain/insufficient information),S01007108
Aberdeenshire,BINV/D/142,"SOUTH OF ALLOCHY ROAD, FORMER AIRFIELD",ALLOCHY ROAD INVERALLOCHY,404373,864729,2,Vacant Land,"Site in settlement with population under 2,000",Local Authority,Other Private,Unknown,Defence,Developable - Medium Term,S01007104
Aberdeenshire,BMIN/D/178,MINTLAW STATION,A950 MINTLAW,398938,848461,0.2,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Transport,Developable - Undetermined,S01007059
