Scottish Vacant and Derelict Land Survey (SVDLS) Site Register 2024,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,
The table is a register of vacant and derelict sites and includes a variety of information about those sites in 2024.,,,,,,,,,,,,, ,
"Total sites on the register number 3,154 and include 93 urban vacant sites in settlements with a population under 2,000.
These 93 sites are not included in the main figures in the SVDLS 2024 statistical publication but are reported separately in Annex Table 2.",,,,,,,,,,,,,,
Go to Background and Notes,,,,,,,,,,,,,,
Go to Variables in Register,,,,,,,,,,,,,,
Go to Contact Details,,,,,,,,,,,,,,
Planning Authority ,Site Code,Site Name (If Supplied),Address (If Supplied),East,North,Site Size (Hectares),Site Type,Location of Site,Owner 1,Owner 2,Period when site became Vacant or Derelict,Previous Use of Site,Development Potential,Datazone
North Ayrshire,567,,LONGFORD AVENUE KILWINNING,230392,642344,1.67,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Ownership unknown,1996-2000,Other,Uneconomic to Develop/Soft End Use,S01011292
North Ayrshire,576,,NORTH CRESCENT ROAD & WINTON PLACE ARDROSSAN,223120,642900,0.2,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),1996-2000,Unknown,Developable - Undetermined,S01011246
North Ayrshire,577,WELSH MARGETSON FACTORY,LONGFORD AVENUE KILWINNING,230270,642411,0.53,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Manufacturing,Developable - Short Term,S01011292
North Ayrshire,58,,ST WINNINGS ROAD KILWINNING,229751,643321,0.42,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),1981-1985,Unknown,Developable - Short Term,S01011294
North Ayrshire,583,ADJACENT TO SCHOOL SITE,LOCHSHORE SOUTH GLENGARNOCK,231928,653042,0.92,Vacant Land,"Site in settlement with population under 2,000",Ownership unknown,Ownership unknown,Unknown,Unknown,Developable - Short Term,S01011347
North Ayrshire,584,,LOCHSHORE EAST GLENGARNOCK,232609,653208,0.98,Derelict,"Site in settlement with population under 2,000",Ownership unknown,Ownership unknown,1980 or earlier,Manufacturing,Developable - Short Term,S01011347
North Ayrshire,585,,CALEDONIA ROAD GLENGARNOCK,232384,653735,2.52,Derelict,"Site in settlement with population under 2,000",Ownership unknown,Ownership unknown,1980 or earlier,Manufacturing,Developable - Short Term,S01011334
North Ayrshire,587,DEMOLISHED HOUSING,STATION DRIVE SPRINGSIDE,237072,639199,0.99,Vacant Land,"Site in settlement with population under 2,000",Local Authority,Not applicable  (i.e. only one owner),1991-1995,Residential - Housing,Developable - Short Term,S01011180
North Ayrshire,592,,WATERS EDGE FAIRLIE,220919,655889,1.43,Derelict,"Site in settlement with population under 2,000",Defence,Not applicable  (i.e. only one owner),2001-2004,Defence,Developable - Short Term,S01011310
North Ayrshire,593,LAND BUILDINGS,REDBURN IRVINE,231950,641419,22.48,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Other Private,2001-2004,Manufacturing,Developable - Short Term,S01011213
North Ayrshire,601,WHITEHOUSE,LAMLASH,202474,630836,4.64,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,"Residential - Hotels, Hostels etc",Developable - Short Term,S01011175
North Ayrshire,610,GREENWOOD INTERCHANGE,RIVERSIDE IRVINE,233862,637774,4.99,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Scottish Enterprise,2001-2004,Forestry/Woodland,Developable - Short Term,S01011184
North Ayrshire,611,RIVERSIDE WAY,RIVERSIDE IRVINE,233747,637638,2.51,Derelict,"Site in settlement with population equal to or over 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),1996-2000,Agriculture,Developable - Medium Term,S01011184
North Ayrshire,614,BP11 CENTENARY ROAD,RIVERSIDE IRVINE,233671,637417,8.3,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Scottish Enterprise,Other Private,2001-2004,Agriculture,Developable - Short Term,S01011184
North Ayrshire,615,BP10 DRUMMOND CRESCENT,RIVERSIDE IRVINE,233521,637123,3.56,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Scottish Enterprise,Other Private,2001-2004,Other,Developable - Short Term,S01011183
North Ayrshire,617,BP9 BREWSTER PLACE,RIVERSIDE IRVINE,233870,637059,0.78,Derelict,"Site in settlement with population equal to or over 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),2001-2004,Other,Developable - Short Term,S01011183
North Ayrshire,618,BP5 STEADMAN PLACE,RIVERSIDE IRVINE,234273,637569,7.64,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Other,Developable - Short Term,S01011181
North Ayrshire,619,BP6 SINGLE USER SITE,RIVERSIDE IRVINE,234858,637297,78.51,Derelict,"Site in settlement with population equal to or over 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),1996-2000,Manufacturing,Developable - Short Term,S01011181
North Ayrshire,626,AYRSHIRE METAL PRODUCTS,CHURCH STREET IRVINE,231361,638847,7.66,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Manufacturing,Developable - Medium Term,S01011232
North Ayrshire,628,,THE DEN DALRY,232581,651251,0.19,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2001-2004,Retailing,Developable - Short Term,S01011299
North Ayrshire,631,JOHNSTONE CASTINGS,BRAEHEAD DALRY,229053,650308,0.63,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Manufacturing,Unknown (uncertain/insufficient information),S01011303
North Ayrshire,633,,WESTFIELD KILBIRNIE,231917,654105,0.93,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Manufacturing,Developable - Short Term,S01011342
North Ayrshire,636,,CALEDONIAN ROAD GLENGARNOCK,232404,653153,0.55,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Manufacturing,Developable - Short Term,S01011347
North Ayrshire,640,,MUIREND STREET KILBIRNIE,231702,654858,1.97,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Manufacturing,Developable - Short Term,S01011342
North Ayrshire,644,SHOOTING RANGE,PORTLAND ROAD IRVINE,231370,637838,0.41,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Recreation & Leisure,Developable - Short Term,S01011232
North Ayrshire,657,SOCIAL AND RETAIL SITE,MONTGOMERIE PARK IRVINE,233460,640633,3.78,Vacant Land,"Site in settlement with population equal to or over 2,000",Health Boards,Not applicable  (i.e. only one owner),2005,Agriculture,Developable - Short Term,S01011182
North Ayrshire,663,,BALGRAY ROAD KILBIRNIE,231735,653045,0.16,Vacant Land and Buildings,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2005,"Residential - Hotels, Hostels etc",Developable - Undetermined,S01011347
North Ayrshire,667,,HEAD STREET BEITH,235128,653995,0.13,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2005,Residential - Housing,Developable - Short Term,S01011355
North Ayrshire,671,,LONGFORD AVENUE KILWINNING,230254,642340,0.43,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2005,Manufacturing,Developable - Short Term,S01011292
North Ayrshire,676,,RIVERSIDE PLACE KILBIRNIE,231757,654188,0.12,Vacant Land and Buildings,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Manufacturing,Developable - Short Term,S01011342
North Ayrshire,678,JACKS PLACE,ARDROSSAN ROAD SALTCOATS,224036,641940,0.21,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Unknown Private,2006,"Residential - Hotels, Hostels etc",Developable - Short Term,S01011259
North Ayrshire,684,,APL STEVENSTON,227789,641155,1.63,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Other General Industry,Developable - Short Term,S01011233
North Ayrshire,686,,BYREHILL PLACE KILWINNING,228397,642745,1.73,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Wholesale Distribution,Developable - Short Term,S01011288
North Ayrshire,687,,BYREHILL PLACE KILWINNING,228485,642584,1.89,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Manufacturing,Developable - Short Term,S01011288
North Ayrshire,688,,BYREHILL AVENUE KILWINNING,228925,642616,0.36,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Manufacturing,Developable - Short Term,S01011288
North Ayrshire,689,,BYREHILL AVENUE KILWINNING,228923,642483,1.76,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Other,Developable - Short Term,S01011288
North Ayrshire,690,,KELVIN PLACE KILWINNING,230755,642063,1.8,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Manufacturing,Developable - Short Term,S01011292
North Ayrshire,692,,KELVIN PLACE KILWINNING,230923,642046,1.65,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Manufacturing,Developable - Short Term,S01011292
North Ayrshire,693,,KELVIN PLACE KILWINNING,230812,642211,1.94,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Manufacturing,Developable - Short Term,S01011292
North Ayrshire,694,,EDISON PLACE KILWINNING,230447,642218,1.51,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Manufacturing,Developable - Short Term,S01011292
North Ayrshire,696,,CALEDONIA PLACE GLENGARNOCK,232067,653033,0.28,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2006,Other General Industry,Developable - Short Term,S01011347
North Ayrshire,711,,BURNS AVENUE SALTCOATS,224945,643159,0.29,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Housing Association,2007,Agriculture,Developable - Short Term,S01011263
North Ayrshire,726,,NORTH NEWMOOR IRVINE,233674,639235,2.55,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2007,Other General Industry,Developable - Short Term,S01011199
North Ayrshire,742,FORMER KWIKSAVE CARPARK AND ADJOINING SITE,FULLARTON PLACE STEVENSTON,226494,642083,0.22,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2015,Transport,Developable - Medium Term,S01011269
North Ayrshire,747,,GOLF COURSE ROAD SKELMORLIE,219872,667695,0.8,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2007,Other,Developable - Short Term,S01011336
North Ayrshire,75,,LUNDHOLM ROAD STEVENSTON,227643,640529,2.17,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),1981-1985,Unknown,Developable - Short Term,S01011233
North Ayrshire,751,,STEVENSTON INDUSTRIAL ESTATE STEVENSTON,227914,640895,5.06,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2005,Manufacturing,Developable - Short Term,S01011233
North Ayrshire,753,NOBEL ENTERPRISES 1,ARDEER STEVENSTON,228725,640143,32.81,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2005,Manufacturing,Developable - Medium Term,S01011233
North Ayrshire,754,NOBEL ENTERPRISES 2,ARDEER STEVENSTON,229351,639491,11.18,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2005,Manufacturing,Developable - Medium Term,S01011233
North Ayrshire,755,NOBEL ENTERPRISES 3,ARDEER STEVENSTON,227917,640084,12.53,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2005,Manufacturing,Developable - Medium Term,S01011233
North Ayrshire,756,NPL,ARDEER STEVENSTON,229054,640372,331.5,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2005,Manufacturing,Developable - Medium Term,S01011233
North Ayrshire,757,,BOGSIDE IRVINE,230148,640531,58.52,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),2005,Manufacturing,Developable - Undetermined,S01011233
North Ayrshire,762,FORMER PUBLIC HOUSE,TOWNHEAD STREET STEVENSTON,226801,642111,0.1,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Unknown Private,2008,Retailing,Developable - Medium Term,S01011271
North Ayrshire,763,FORMER SCOUT HALL,BOGLEMART STREET STEVENSTON,226406,641847,0.22,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other,Developable - Medium Term,S01011268
North Ayrshire,765,FORMER SUPERMARKET,TOWNHEAD KILBIRNIE,231563,654822,0.41,Derelict,"Site in settlement with population equal to or over 2,000",Other National/Local Government,Not applicable  (i.e. only one owner),2008,Retailing,Developable - Short Term,S01011341
North Ayrshire,770,HAY AND ANDERSON,MCGAVIN WAY KILWINNING,229679,643572,0.52,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2008,Manufacturing,Developable - Short Term,S01011281
North Ayrshire,771,NACCO,PORTLAND ROAD IRVINE,231470,637574,13.68,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2008,Manufacturing,Developable - Short Term,S01011178
North Ayrshire,773,RYESIDE WORKS,BRAEHEAD DALRY,229024,650250,0.74,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Short Term,S01011303
North Ayrshire,778,SITE OF FORMER MATERNITY UNIT,KILWINNING ROAD IRVINE,231816,640846,2.9,Vacant Land,"Site in settlement with population equal to or over 2,000",Health Boards,Not applicable  (i.e. only one owner),2010,Community & Health,Developable - Short Term,S01011213
North Ayrshire,780,GAILES FARM STEADING,GAILES ROAD IRVINE,232202,636004,1.81,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2010,Agriculture,Developable - Short Term,S01011178
North Ayrshire,793,FORMER STANLEY NURSERIES,STANLEY AVENUE ARDROSSAN,222987,643516,1.56,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Other Private,2009,Agriculture,Developable - Short Term,S01011247
North Ayrshire,794,,PAVILION PLACE ARDROSSAN,223242,642187,0.85,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2009,Other General Industry,Developable - Short Term,S01011242
North Ayrshire,800,,QUARRY ROAD IRVINE,232205,639265,0.54,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Local Authority,Other Private,2010,Other General Industry,Developable - Short Term,S01011225
North Ayrshire,801,AYRSHIRE CENTRAL HOSPITAL,IRVINE,231809,641346,0.4,Derelict,"Site in settlement with population equal to or over 2,000",Health Boards,Not applicable  (i.e. only one owner),2010,Community & Health,Developable - Short Term,S01011213
North Ayrshire,805,BOWERTRAPPING,BOWERTRAPPING FARM DALRY,232594,649520,1.39,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Mineral Activity,Developable - Medium Term,S01011299
North Ayrshire,807,DOCKRA QUARRY,DOCKRA QUARRY BEITH,236403,652525,2.21,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Mineral Activity,Developable - Medium Term,S01011356
North Ayrshire,813,,KERELAW STEVENSTON,226762,642866,10,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2006,Community & Health,Developable - Short Term,S01011307
North Ayrshire,817,,STANLANE PLACE & BATH STREET 145 MAIN STREET & 1 GALLOWGATE STREET LARGS,220308,659329,0.12,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Unknown Private,1996-2000,Retailing,Developable - Short Term,S01011326
North Ayrshire,818,SITE OF FORMER ARDCHOILLE HOTEL,ARDCHOILLE LANE STEVENSTON,227364,642734,0.77,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),1981-1985,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01011276
North Ayrshire,819,,LUMSDEN PLACE STEVENSTON,227297,642527,0.18,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2007,Residential - Housing,Developable - Medium Term,S01011274
North Ayrshire,820,FORMER GRANGE HOTEL & 2-6 DOCKHEAD STREET & 7-9 QU,HILL STREET SALTCOATS,224783,641130,0.18,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2008,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01011241
North Ayrshire,821,15 ARDROSSAN ROAD,SEAMILL WEST KILBRIDE,220090,647453,0.13,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2013,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01011312
North Ayrshire,823,HILLCREST COACHWORKS,DRUMMILLING ROAD WEST KILBRIDE,220673,648670,0.13,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),1991-1995,Transport,Developable - Medium Term,S01011314
North Ayrshire,825,68 AND SITE TO SOUTH,GREENOCK ROAD LARGS,220160,660238,0.22,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2001-2004,Residential - Housing,Developable - Medium Term,S01011332
North Ayrshire,829,17 ARKWRIGHT WAY,IRVINE,233744,638844,2.22,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2012,Business Class,Developable - Medium Term,S01011199
North Ayrshire,831,SCOTTISH AND UNIVERSAL NEWSPAPERS,34 MACKINTOSH PLACE SOUTH NEWMOOR IRVINE,233826,638022,0.39,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Business Class,Developable - Medium Term,S01011184
North Ayrshire,834,MILLPORT CONSERVATION AREA,MILLPORT ISLE OF CUMBRAE,216494,654952,0.12,Vacant Land and Buildings,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),1996-2000,Residential - Housing,Developable - Medium Term,S01011327
North Ayrshire,836,FORMER MACLAREN HOTEL,MAIN STREET BRODICK,201918,635903,0.44,Vacant Land and Buildings,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),2015,Recreation & Leisure,Developable - Short Term,S01011177
North Ayrshire,838,OLD COUNCIL BUILDING,22 MONTGOMERIE CRESCENT SALTCOATS,224081,641838,0.12,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2015,Offices,Developable - Short Term,S01011241
North Ayrshire,842,STONEYHOLM MILL,GARNOCK STREET KILBIRNIE,231654,654525,0.36,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2010,Manufacturing,Developable - Medium Term,S01011342
North Ayrshire,846,FORMER FACTORY,JAMES STREET DALRY,228887,649537,0.18,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2016,Manufacturing,Developable - Medium Term,S01011303
North Ayrshire,847,FORMER GLENGARNOCK PRIMARY SCHOOL,GRAHAMSTON AVENUE GLENGARNOCK BEITH,231674,653133,1.68,Derelict,"Site in settlement with population under 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Education,Developable - Medium Term,S01011347
North Ayrshire,849,2 MAIN STREET,KILBIRNIE,231527,654642,0.12,Vacant Land,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),2010,Residential - Housing,Developable - Medium Term,S01011341
North Ayrshire,850,FORMER LARGS ACADEMY,FLATT ROAD LARGS,220880,659512,1.6,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Education,Developable - Medium Term,S01011324
North Ayrshire,851,OLD RUINED HOUSE,MONTFODE ARDROSSAN,222854,644651,0.11,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1980 or earlier,Residential - Housing,Unknown (uncertain/insufficient information),S01011307
North Ayrshire,852,FORMER SEAFIELD SCHOOL,EGLINTON ROAD ARDROSSAN,222856,643472,0.2,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2016,Education,Developable - Medium Term,S01011247
North Ayrshire,854,NURSERY DRIVE,KILWINNING,229569,644206,0.86,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2007,Passive Open Space,Developable - Medium Term,S01011283
North Ayrshire,855,FORMER MELVIN HOUSE,DALRY ROAD KILWINNING,229689,644202,1.13,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2011,Education,Developable - Medium Term,S01011295
North Ayrshire,856,FORMERCLUB/AQUARIUM,BEACH PARK IRVINE,230545,637782,0.62,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2010,Recreation & Leisure,Unknown (uncertain/insufficient information),S01011232
North Ayrshire,857,FORMER CARAVAN PARK,IRVINE BEACH PARK IRVINE,231273,637123,8.27,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Recreation & Leisure,Unknown (uncertain/insufficient information),S01011232
North Ayrshire,858,EMPTY PLOTS,NURSERY DRIVE KILWINNING,229537,644371,0.11,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Prepared Ground,Developable - Undetermined,S01011283
North Ayrshire,859,MONTGOMERIE PARK,IRVINE,232880,641258,21.41,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2020,Agriculture,Developable - Medium Term,S01011233
North Ayrshire,86,,OLD QUARRY ROAD STEVENSTON,226883,641568,0.42,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),1981-1985,Unknown,Developable - Medium Term,S01011270
North Ayrshire,860,FORMER DEMOLISHED CARE HOME,CALEY COURT STEVENSTON,226754,641470,0.31,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Residential - Housing,Developable - Short Term,S01011236
North Ayrshire,861,CORRIN INN,JACKS ROAD SALTCOATS,224745,642342,0.22,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2020,Business Class,Developable - Short Term,S01011260
North Ayrshire,862,ARRAN CREAMERY,KILMORY ARRAN,196104,621449,0.67,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2020,Manufacturing,Developable - Short Term,S01011172
North Ayrshire,863,FORMER FIR TREES COTTAGE,LAMLASH ARRAN,203041,631573,0.29,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2020,Residential - Housing,Developable - Short Term,S01011176
North Ayrshire,864,FORMER WARREN PARK NURSING HOME,ANTHONY ROAD LARGS,220708,658212,0.99,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2020,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01011317
North Ayrshire,865,FORMER RESIDENTAIL HOUSE,111 BANK STREET IRVINE,232724,639285,0.35,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2017,Residential - Housing,Developable - Medium Term,S01011225
North Ayrshire,866,FORMER TERRACED,35-41 BANK STREET IRVINE,232300,639057,0.14,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2018,Residential - Housing,Developable - Medium Term,S01011225
North Ayrshire,867,FORMER BREADLEBANE HOTEL,KILDONNAN ARRAN,202244,621046,0.56,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2020,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01011172
North Ayrshire,868,FORMER BREADLEBANE LODGE,KILDONNAN ARRAN,202300,621043,0.29,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2020,Residential - Housing,Developable - Medium Term,S01011172
North Ayrshire,869,PARKEND GARDENS,SALTCOATS,225163,641429,0.14,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2011,Residential - Housing,Developable - Medium Term,S01011239
North Ayrshire,870,FORMER BUILDERS YARD,19  ASHGROVE ROAD KILWINNING,229460,543611,0.33,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2021,Other,Developable - Medium Term,Unknown
North Ayrshire,872,FORMER LOCKUPS,HOLEHOUSE ROAD LARGS,221103,659676,0.24,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2009,Transport,Developable - Medium Term,S01011324
North Ayrshire,873,FORMER LOCK UPS,DONALDSON AVENUE STEVENSTON,227000,642478,0.29,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2009,Transport,Developable - Medium Term,S01011272
North Ayrshire,874,FORMER SCHOOL,SCHOOL BRAE FAIRLIE,221049,655247,0.23,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2009,Education,Developable - Medium Term,S01011310
North Ayrshire,875,ST MAURA & KIRKTON,KIRKTON CRESCENT MILLPORT,215950,655076,0.71,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2010,Agriculture,Developable - Short Term,S01011327
North Ayrshire,876,FORMER OLD CHURCH,BUTE TERRACE MILLPORT,216035,655004,0.11,Vacant Land and Buildings,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2022,Recreation & Leisure,Developable - Short Term,S01011327
North Ayrshire,877,VACANT SITE,CRAIG-EN-ROS ROAD MILLPORT,216714,655212,0.81,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2009,Agriculture,Developable - Short Term,S01011328
North Ayrshire,878,FORMER GARAGES/LOCKUP,REAR OF FULLARTO CARE HOME IRVINE,232216,638438,0.13,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2022,Transport,Developable - Short Term,S01011230
North Ayrshire,879,FORMER HIGH FLATS,FULLARTON IRVINE,232066,638524,2.2,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Unknown Public,2022,Residential - Housing,Developable - Short Term,S01011230
North Ayrshire,88,,LOCHSHORE EAST GLENGARNOCK,231923,653292,1.17,Derelict,"Site in settlement with population under 2,000",Scottish Enterprise,Not applicable  (i.e. only one owner),1981-1985,Manufacturing,Developable - Short Term,S01011334
North Ayrshire,880,FORMER JEWSONS BUILDERS YARD,HARBOUR ROAD IRVINE,231398,638246,0.3,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Wholesale Distribution,Developable - Short Term,S01011232
