Datazone,DZname,LAname,Income_Domain,Employment_Domain,Education_Domain,Health_Domain,Crime_Domain
S01009826,Penilee - 05,Glasgow City,818.0,1157.5,711,1278,2945.0
S01009827,Penilee - 06,Glasgow City,1113.0,935.0,729,739,2756.0
S01009828,Penilee - 07,Glasgow City,144.0,73.0,849,133,2930.0
S01009829,Hillington - 01,Glasgow City,1228.0,560.0,1751,654,2355.0
S01009830,Hillington - 02,Glasgow City,1410.0,2205.0,1092,2249,3443.0
S01009831,Hillington - 03,Glasgow City,3025.0,4500.0,1358,2761,4780.0
S01009832,Hillington - 04,Glasgow City,2577.0,3099.0,3016,2666,1647.0
S01009833,Drumoyne and Shieldhall - 01,Glasgow City,2648.0,2193.0,1823,1339,9.0
S01009834,Drumoyne and Shieldhall - 02,Glasgow City,911.0,932.0,1651,840,1546.0
S01009835,Drumoyne and Shieldhall - 03,Glasgow City,737.0,672.0,499,358,2042.0
S01009836,Drumoyne and Shieldhall - 04,Glasgow City,3036.0,2470.0,2967,1295,3170.0
S01009837,Drumoyne and Shieldhall - 05,Glasgow City,780.0,669.0,1641,142,3485.0
S01009838,Drumoyne and Shieldhall - 06,Glasgow City,833.0,720.0,2248,666,1416.0
S01009839,Drumoyne and Shieldhall - 07,Glasgow City,409.0,395.0,736,349,530.0
S01009840,Drumoyne and Shieldhall - 08,Glasgow City,870.0,755.0,1968,452,2819.0
S01009841,Govan and Linthouse - 01,Glasgow City,1038.5,776.0,1839,810,1508.0
S01009842,Govan and Linthouse - 02,Glasgow City,363.0,277.0,620,194,263.0
S01009843,Govan and Linthouse - 03,Glasgow City,51.0,80.0,378,31,70.0
S01009844,Govan and Linthouse - 04,Glasgow City,184.0,166.0,145,76,127.0
S01009845,Govan and Linthouse - 05,Glasgow City,1157.0,635.0,518,1259,350.0
S01009846,Govan and Linthouse - 06,Glasgow City,560.0,634.0,1450,562,925.0
S01009847,Govan and Linthouse - 07,Glasgow City,1316.0,741.0,1152,674,703.0
S01009848,Craigton - 01,Glasgow City,687.0,855.0,885,357,1122.0
S01009849,Craigton - 02,Glasgow City,790.0,1387.5,2033,857,1489.0
S01009850,Craigton - 03,Glasgow City,1502.0,1840.0,2758,1568,4432.0
S01009851,Craigton - 04,Glasgow City,681.0,556.0,1835,625,1374.0
S01009852,Mosspark - 01,Glasgow City,2205.0,2415.0,2626,1309,336.0
S01009853,Mosspark - 02,Glasgow City,2223.0,2145.0,2416,1472,2829.0
S01009854,Mosspark - 03,Glasgow City,1510.0,1175.0,2604,1068,2136.0
S01009855,Mosspark - 04,Glasgow City,3207.0,2334.0,1974,2163,3873.0
S01009856,Mosspark - 05,Glasgow City,2226.0,2543.0,3272,2744,3827.0
S01009857,Mosspark - 06,Glasgow City,2650.0,2659.0,2517,2248,3380.0
S01009858,Mosspark - 07,Glasgow City,2622.0,2985.0,3299,1939,3272.0
S01009859,Ibrox - 01,Glasgow City,213.0,173.0,596,160,253.0
S01009860,Ibrox - 02,Glasgow City,88.0,84.0,507,62,279.0
S01009861,Ibrox - 03,Glasgow City,599.0,543.0,183,415,490.0
S01009862,Ibrox East and Cessnock - 01,Glasgow City,555.0,443.0,947,204,170.0
S01009863,Ibrox East and Cessnock - 02,Glasgow City,1446.0,973.0,1548,1151,555.0
S01009864,Ibrox East and Cessnock - 03,Glasgow City,1196.0,2032.0,1281,1704,808.0
S01009865,Ibrox East and Cessnock - 04,Glasgow City,3350.0,2503.0,3210,2604,2660.0
S01009866,Kinning Park and Festival Park - 01,Glasgow City,1748.0,2447.0,2471,2099,1173.0
S01009867,Kinning Park and Festival Park - 02,Glasgow City,2469.0,2779.0,2392,1324,1372.0
S01009868,Kinning Park and Festival Park - 03,Glasgow City,3352.0,4800.0,3724,3556,2701.0
S01009869,Kinning Park and Festival Park - 04,Glasgow City,2882.0,3104.0,2946,3788,1231.0
S01009870,Kinning Park and Festival Park - 05,Glasgow City,2414.0,3312.0,1375,2579,1259.0
S01009871,Kingston West and Dumbreck - 01,Glasgow City,963.0,808.0,2278,868,1302.0
S01009872,Kingston West and Dumbreck - 02,Glasgow City,2086.0,3053.0,2714,2924,764.0
S01009873,Kingston West and Dumbreck - 03,Glasgow City,2304.0,2958.0,4628,2279,939.0
S01009874,Kingston West and Dumbreck - 04,Glasgow City,1055.0,844.0,2648,2160,724.0
S01009875,Pollokshields West - 01,Glasgow City,922.0,1205.0,2005,1186,1060.0
S01009876,Pollokshields West - 02,Glasgow City,301.0,780.0,1650,2044,882.0
S01009877,Pollokshields West - 03,Glasgow City,4636.0,4467.0,6106,5553,4283.0
S01009878,Pollokshields West - 04,Glasgow City,1022.0,2722.0,1893,2596,1785.0
S01009879,Pollokshields West - 05,Glasgow City,5844.0,6730.0,6316,6414,3535.0
S01009880,Pollokshields West - 06,Glasgow City,2841.0,4357.0,3548,3783,2990.0
S01009881,Pollokshields East - 01,Glasgow City,2399.5,3490.0,1033,3210,1382.0
S01009882,Pollokshields East - 02,Glasgow City,3474.0,4343.0,1898,4985,1409.0
S01009883,Pollokshields East - 03,Glasgow City,3183.0,4141.0,2294,3737,1839.0
S01009884,Pollokshields East - 04,Glasgow City,1259.0,2858.0,1922,3175,1332.0
S01009885,Pollokshields East - 05,Glasgow City,2692.0,4121.0,2969,3182,2537.0
S01009886,Pollokshields East - 06,Glasgow City,932.0,2506.0,3595,2274,2151.0
S01009887,Govanhill West - 01,Glasgow City,411.0,859.0,330,959,197.0
S01009888,Govanhill West - 02,Glasgow City,1008.0,2708.0,71,3462,748.0
