Datazone,DZname,LAname,Income_Domain,Employment_Domain,Education_Domain,Health_Domain,Crime_Domain
S01010080,Mount Vernon North and Sandyhills - 03,Glasgow City,5667.0,5511.0,5516,4043,5969.0
S01010081,Mount Vernon North and Sandyhills - 04,Glasgow City,4623.0,4839.0,4732,3897,5903.0
S01010082,Mount Vernon North and Sandyhills - 05,Glasgow City,3627.5,3302.0,2953,3223,4654.0
S01010083,Baillieston West - 01,Glasgow City,1218.0,1101.0,1288,1148,2799.0
S01010084,Baillieston West - 02,Glasgow City,879.0,861.0,1417,440,601.0
S01010085,Baillieston West - 03,Glasgow City,4335.0,4071.0,4492,3301,2431.0
S01010086,Baillieston West - 04,Glasgow City,507.0,484.0,759,84,1415.0
S01010087,Baillieston West - 05,Glasgow City,4184.5,4525.0,5276,3518,4217.0
S01010088,Baillieston East - 01,Glasgow City,5604.0,5981.0,4689,5393,5667.0
S01010089,Baillieston East - 02,Glasgow City,1777.0,1306.0,2358,620,1386.0
S01010090,Baillieston East - 03,Glasgow City,3185.0,3729.0,3601,2116,4266.0
S01010091,Baillieston East - 04,Glasgow City,4131.0,4096.0,4090,3828,4444.0
S01010092,Baillieston East - 05,Glasgow City,387.0,739.0,1063,286,2013.0
S01010093,Baillieston East - 06,Glasgow City,3111.5,2773.0,3524,2448,2932.0
S01010094,Garrowhill West - 01,Glasgow City,4299.0,4017.0,4816,3292,3468.0
S01010095,Garrowhill West - 02,Glasgow City,5577.0,5142.0,3600,4205,6505.0
S01010096,Garrowhill West - 03,Glasgow City,4629.5,4136.0,4676,3332,3490.0
S01010097,Garrowhill West - 04,Glasgow City,4004.0,4028.5,3669,3600,3502.0
S01010098,Garrowhill West - 05,Glasgow City,4780.5,4118.0,4367,3529,2432.0
S01010099,Garrowhill West - 06,Glasgow City,5133.0,5545.5,5824,5014,3976.0
S01010100,Garrowhill East and Swinton - 01,Glasgow City,3831.5,3589.0,3572,2559,3444.0
S01010101,Garrowhill East and Swinton - 02,Glasgow City,4527.0,4227.0,3226,2909,6281.0
S01010102,Garrowhill East and Swinton - 03,Glasgow City,4911.0,5098.0,4355,4904,6857.0
S01010103,Garrowhill East and Swinton - 04,Glasgow City,4997.0,5308.0,4413,5024,3590.0
S01010104,Garrowhill East and Swinton - 05,Glasgow City,4079.5,5601.0,4447,4447,3285.0
S01010105,Easterhouse East - 01,Glasgow City,436.0,420.0,455,92,498.0
S01010106,Easterhouse East - 02,Glasgow City,1227.0,915.0,1209,1071,995.0
S01010107,Easterhouse East - 03,Glasgow City,784.0,1006.0,202,557,2469.5
S01010108,Easterhouse East - 04,Glasgow City,807.0,610.0,1428,217,3306.0
S01010109,Easterhouse East - 05,Glasgow City,1195.0,1321.0,1377,744,1571.0
S01010110,Central Easterhouse - 01,Glasgow City,204.5,239.0,639,220,1365.0
S01010111,Central Easterhouse - 02,Glasgow City,49.0,95.0,212,14,1662.0
S01010112,Central Easterhouse - 03,Glasgow City,190.0,207.0,161,50,1564.0
S01010113,"Garthamlock, Auchinlea and Gartloch - 01",Glasgow City,254.0,229.0,372,190,1164.0
S01010114,"Garthamlock, Auchinlea and Gartloch - 02",Glasgow City,31.0,41.0,38,13,335.0
S01010115,"Garthamlock, Auchinlea and Gartloch - 03",Glasgow City,2224.0,2845.0,2118,2191,4809.0
S01010116,"Garthamlock, Auchinlea and Gartloch - 04",Glasgow City,3522.0,3415.0,2772,2721,4437.0
S01010117,"Garthamlock, Auchinlea and Gartloch - 05",Glasgow City,5536.0,5589.0,4362,5215,1531.0
S01010118,North Barlanark and Easterhouse South - 01,Glasgow City,90.0,175.0,19,44,742.0
S01010119,North Barlanark and Easterhouse South - 02,Glasgow City,647.0,667.0,384,252,3074.0
S01010120,North Barlanark and Easterhouse South - 03,Glasgow City,71.0,358.0,22,122,1476.0
S01010121,North Barlanark and Easterhouse South - 04,Glasgow City,59.0,144.0,41,46,2347.0
S01010122,North Barlanark and Easterhouse South - 05,Glasgow City,17.0,15.0,54,9,85.0
S01010123,Barlanark - 01,Glasgow City,168.0,451.0,615,436,3671.0
S01010124,Barlanark - 02,Glasgow City,2200.0,2816.0,2057,2593,5455.0
S01010125,Barlanark - 03,Glasgow City,1448.0,2092.0,1126,1892,1816.0
S01010126,Barlanark - 04,Glasgow City,1252.0,1594.0,1860,720,3289.0
S01010127,Barlanark - 05,Glasgow City,408.0,225.0,1094,246,4636.0
S01010128,Barlanark - 06,Glasgow City,50.0,326.0,207,37,1185.0
S01010129,Barlanark - 07,Glasgow City,25.0,124.0,104,27,1278.0
S01010130,Barlanark - 08,Glasgow City,812.0,960.0,186,288,1533.0
S01010131,Greenfield - 01,Glasgow City,4046.0,5041.0,4393,3063,5157.0
S01010132,Greenfield - 02,Glasgow City,720.0,584.0,662,454,1510.0
S01010133,Greenfield - 03,Glasgow City,141.0,81.0,386,109,499.0
S01010134,Greenfield - 04,Glasgow City,773.0,883.0,1403,316,2039.0
S01010135,Greenfield - 05,Glasgow City,618.0,701.0,1264,489,3392.0
S01010136,Greenfield - 06,Glasgow City,2255.0,2363.0,2459,1926,4695.0
S01010137,Shettleston North - 01,Glasgow City,493.0,680.0,2463,477,1698.0
S01010138,Shettleston North - 02,Glasgow City,7.0,1.0,864,5,323.0
S01010139,Shettleston North - 03,Glasgow City,623.0,587.0,796,503,1818.0
S01010140,Shettleston North - 04,Glasgow City,2067.0,2231.0,1811,1273,375.0
S01010141,Shettleston North - 05,Glasgow City,98.0,146.0,309,88,945.0
S01010142,Tollcross - 01,Glasgow City,386.0,350.0,805,64,1085.0
S01010143,Tollcross - 02,Glasgow City,1150.0,1217.0,2753,819,4245.0
S01010144,Tollcross - 03,Glasgow City,945.0,840.0,748,548,794.0
S01010145,Tollcross - 04,Glasgow City,1795.0,1573.0,862,1787,2105.0
S01010146,Tollcross - 05,Glasgow City,240.0,590.0,1536,141,755.0
S01010147,Old Shettleston and Parkhead North - 01,Glasgow City,138.0,267.0,55,98,469.0
S01010148,Old Shettleston and Parkhead North - 02,Glasgow City,294.0,783.0,53,166,492.0
S01010149,Old Shettleston and Parkhead North - 03,Glasgow City,1613.0,2561.0,2136,578,2363.0
S01010150,Old Shettleston and Parkhead North - 04,Glasgow City,140.0,171.0,141,86,1209.0
S01010151,Old Shettleston and Parkhead North - 05,Glasgow City,193.0,312.0,430,387,3745.0
S01010152,Carntyne - 01,Glasgow City,1681.0,1948.0,2937,1302,1454.0
S01010153,Carntyne - 02,Glasgow City,884.0,575.0,1547,56,1935.0
S01010154,Carntyne - 03,Glasgow City,640.0,278.0,1269,208,2763.0
S01010155,Carntyne - 04,Glasgow City,1222.0,1621.0,1390,719,3211.0
S01010156,"Cranhill, Lightburn and Queenslie South - 0",Glasgow City,719.0,928.0,337,205,2133.0
S01010157,"Cranhill, Lightburn and Queenslie South - 0",Glasgow City,106.0,201.0,561,147,853.0
S01010158,"Cranhill, Lightburn and Queenslie South - 0",Glasgow City,1029.0,1154.0,2128,861,797.0
S01010159,"Cranhill, Lightburn and Queenslie South - 0",Glasgow City,746.0,393.0,2587,600,1069.0
S01010160,"Cranhill, Lightburn and Queenslie South - 0",Glasgow City,124.0,78.0,749,143,183.0
S01010161,"Cranhill, Lightburn and Queenslie South - 0",Glasgow City,1747.0,1668.0,1803,1383,361.5
S01010162,"Cranhill, Lightburn and Queenslie South - 0",Glasgow City,130.0,106.0,343,1187,1462.0
S01010163,"Cranhill, Lightburn and Queenslie South - 0",Glasgow City,105.0,87.0,175,21,560.0
S01010164,"Cranhill, Lightburn and Queenslie South - 0",Glasgow City,649.0,790.0,984,401,1928.0
S01010165,Craigend and Ruchazie - 01,Glasgow City,221.0,198.0,201,184,448.0
S01010166,Craigend and Ruchazie - 02,Glasgow City,1614.0,1928.0,1227,1106,3292.0
S01010167,Craigend and Ruchazie - 03,Glasgow City,446.0,188.0,142,247,2587.0
S01010168,Craigend and Ruchazie - 04,Glasgow City,767.0,1380.0,1233,1417,2572.0
S01010169,Craigend and Ruchazie - 05,Glasgow City,359.0,631.0,287,491,1078.0
S01010170,Craigend and Ruchazie - 06,Glasgow City,551.0,629.0,366,329,634.0
S01010171,Craigend and Ruchazie - 07,Glasgow City,233.0,228.0,23,189,849.0
S01010172,Riddrie and Hogganfield - 01,Glasgow City,322.0,311.0,1642,446,3567.0
S01010173,Riddrie and Hogganfield - 02,Glasgow City,1964.0,1874.0,1525,1789,2342.0
S01010174,Riddrie and Hogganfield - 03,Glasgow City,4133.0,4313.0,146,2930,299.0
S01010175,Riddrie and Hogganfield - 04,Glasgow City,1158.0,842.0,1151,1492,737.0
S01010176,Riddrie and Hogganfield - 05,Glasgow City,1725.0,2035.0,1685,1589,2278.0
S01010177,Riddrie and Hogganfield - 06,Glasgow City,53.0,151.0,163,298,1239.0
S01010178,Riddrie and Hogganfield - 07,Glasgow City,212.0,522.5,198,270,364.0
S01010179,Blackhill and Barmulloch East - 01,Glasgow City,219.0,195.0,48,57,2162.0
S01010180,Blackhill and Barmulloch East - 02,Glasgow City,2680.0,2804.0,2092,2094,1669.0
S01010181,Blackhill and Barmulloch East - 03,Glasgow City,189.0,246.0,290,55,1251.0
S01010182,Blackhill and Barmulloch East - 04,Glasgow City,3765.0,3543.0,3985,3184,3554.0
S01010183,Blackhill and Barmulloch East - 05,Glasgow City,564.0,390.0,879,340,1091.0
S01010184,Blackhill and Barmulloch East - 06,Glasgow City,696.0,827.5,726,851,2646.0
S01010185,Blackhill and Barmulloch East - 07,Glasgow City,443.0,897.0,481,675,1057.0
S01010186,Robroyston and Millerston - 01,Glasgow City,4685.5,4681.0,3789,3542,5510.0
S01010187,Robroyston and Millerston - 02,Glasgow City,3644.0,3321.0,5259,2622,6075.0
S01010188,Robroyston and Millerston - 03,Glasgow City,3795.0,3910.5,4719,2424,899.0
S01010189,Robroyston and Millerston - 04,Glasgow City,5297.0,6061.0,4681,5671,3929.0
S01010190,Robroyston and Millerston - 05,Glasgow City,5759.0,5726.0,6332,6525,4284.0
S01010191,Robroyston and Millerston - 06,Glasgow City,3721.0,4097.0,3940,4860,3994.0
S01010192,Robroyston and Millerston - 07,Glasgow City,4877.0,5927.0,4754,5353,2535.0
S01010193,Robroyston and Millerston - 08,Glasgow City,4506.0,4556.0,4995,3499,3000.0
S01010194,Balornock - 01,Glasgow City,1646.0,951.0,2006,692,4897.0
S01010195,Balornock - 02,Glasgow City,1087.0,1465.0,1653,1042,5589.0
S01010196,Balornock - 03,Glasgow City,890.0,1001.0,838,504,1943.0
S01010197,Balornock - 04,Glasgow City,508.0,801.0,530,260,1113.0
S01010198,Balornock - 05,Glasgow City,612.0,434.0,392,104,277.0
S01010199,Barmulloch - 01,Glasgow City,610.0,578.0,682,516,3472.0
S01010200,Barmulloch - 02,Glasgow City,1208.0,1982.0,1274,1022,2825.0
S01010201,Barmulloch - 03,Glasgow City,2507.5,2686.0,1426,2005,2536.0
S01010202,Barmulloch - 04,Glasgow City,162.0,172.0,80,265,415.0
S01010203,Petershill - 01,Glasgow City,4683.0,4723.5,3342,4455,5452.0
S01010204,Petershill - 02,Glasgow City,127.0,206.0,160,264,2638.0
S01010205,Petershill - 03,Glasgow City,532.0,333.0,349,93,2006.0
S01010206,Petershill - 04,Glasgow City,6969.0,6974.0,811,3436,6928.0
S01010207,Petershill - 05,Glasgow City,5.0,11.0,526,42,109.0
S01010208,Petershill - 06,Glasgow City,1595.0,1563.0,1427,649,885.0
S01010209,Springburn - 01,Glasgow City,209.0,85.0,489,131,82.0
S01010210,Springburn - 02,Glasgow City,1639.0,1495.0,2307,871,3234.0
S01010211,Springburn - 03,Glasgow City,351.0,352.0,813,335,1047.0
S01010212,Springburn - 04,Glasgow City,73.0,56.0,871,85,59.0
S01010213,Springburn - 05,Glasgow City,947.0,1245.0,1340,392,2567.5
S01010214,Springburn East and Cowlairs - 01,Glasgow City,3323.0,3529.0,3533,3297,2276.0
S01010215,Springburn East and Cowlairs - 02,Glasgow City,169.0,264.0,717,279,250.0
S01010216,Springburn East and Cowlairs - 03,Glasgow City,125.0,29.0,336,369,1070.0
S01010217,Springburn East and Cowlairs - 04,Glasgow City,232.0,544.0,831,757,78.0
S01010218,Springburn East and Cowlairs - 05,Glasgow City,422.0,455.0,1395,427,440.0
S01010219,Cowlairs and Port Dundas - 01,Glasgow City,2579.5,2786.0,3073,4035,6614.5
S01010220,Cowlairs and Port Dundas - 02,Glasgow City,5961.0,6601.0,5975,6867,2038.0
S01010221,Cowlairs and Port Dundas - 03,Glasgow City,147.0,149.0,177,28,1410.0
S01010222,Cowlairs and Port Dundas - 04,Glasgow City,822.0,1128.0,2944,1793,930.0
S01010223,Cowlairs and Port Dundas - 05,Glasgow City,654.0,491.0,663,108,1384.0
S01010224,Cowlairs and Port Dundas - 06,Glasgow City,33.0,159.0,131,103,428.0
S01010225,Sighthill - 01,Glasgow City,845.0,569.0,1202,746,164.0
S01010226,Sighthill - 02,Glasgow City,6969.0,6974.0,3517,4559,6928.0
S01010227,Sighthill - 03,Glasgow City,6969.0,6974.0,1774,4823,6879.0
S01010228,"Roystonhill, Blochairn, and Provanmill - 01",Glasgow City,208.0,134.0,613,124,580.0
S01010229,"Roystonhill, Blochairn, and Provanmill - 02",Glasgow City,960.0,981.0,2327,580,1339.0
S01010230,"Roystonhill, Blochairn, and Provanmill - 03",Glasgow City,48.0,38.0,1149,173,370.0
S01010231,"Roystonhill, Blochairn, and Provanmill - 04",Glasgow City,211.0,314.0,1806,191,963.0
S01010232,"Roystonhill, Blochairn, and Provanmill - 05",Glasgow City,1497.0,1624.0,1415,865,1360.0
S01010233,"Roystonhill, Blochairn, and Provanmill - 06",Glasgow City,318.0,421.0,1245,126,1483.0
S01010234,Dennistoun North - 01,Glasgow City,3332.0,3759.0,3713,3185,1634.0
S01010235,Dennistoun North - 02,Glasgow City,4533.0,6261.0,2402,3397,5141.0
S01010236,Dennistoun North - 03,Glasgow City,2900.0,2988.0,2709,2383,2876.0
S01010237,Dennistoun North - 04,Glasgow City,3145.0,3825.0,3485,3539,2822.0
S01010238,Dennistoun North - 05,Glasgow City,2772.0,3783.0,2016,2791,1889.0
S01010239,Alexandra Parade - 01,Glasgow City,875.0,1608.0,1070,929,4510.0
S01010240,Alexandra Parade - 02,Glasgow City,2524.5,2808.0,3120,2351,2985.0
S01010241,Alexandra Parade - 03,Glasgow City,1926.0,2586.0,2123,1298,1361.0
S01010242,Carntyne West and Haghill - 01,Glasgow City,662.0,879.0,927,439,1159.0
S01010243,Carntyne West and Haghill - 02,Glasgow City,764.0,997.0,1144,1393,288.0
S01010244,Carntyne West and Haghill - 03,Glasgow City,747.0,1077.0,1053,1463,345.0
S01010245,Carntyne West and Haghill - 04,Glasgow City,3.0,7.0,6,3,515.0
S01010246,Carntyne West and Haghill - 05,Glasgow City,368.0,493.0,656,244,2315.0
S01010247,Carntyne West and Haghill - 06,Glasgow City,1305.0,1902.0,3148,926,1606.0
S01010248,Dennistoun - 01,Glasgow City,4016.0,4518.0,3071,3954,2951.0
S01010249,Dennistoun - 02,Glasgow City,3399.0,3889.0,3428,3212,1720.0
S01010250,Dennistoun - 03,Glasgow City,4444.0,5689.0,1754,4458,1217.0
S01010251,Dennistoun - 04,Glasgow City,5546.0,6147.0,4597,6550,3825.0
S01010252,Dennistoun - 05,Glasgow City,2998.0,3095.0,3715,2730,1218.0
S01010253,Dennistoun - 06,Glasgow City,93.0,235.0,419,66,937.0
S01010254,Gallowgate North and Bellgrove - 01,Glasgow City,1311.0,1962.0,1280,1003,2605.0
S01010255,Gallowgate North and Bellgrove - 02,Glasgow City,201.0,521.0,1317,480,1860.0
S01010256,Gallowgate North and Bellgrove - 03,Glasgow City,456.5,279.0,823,300,2496.0
S01010257,Gallowgate North and Bellgrove - 04,Glasgow City,3565.0,3537.0,1066,2205,1275.0
S01010258,Gallowgate North and Bellgrove - 05,Glasgow City,6964.0,6966.0,6398,6976,5135.0
S01010259,City Centre East - 01,Glasgow City,1794.0,1970.0,1840,1824,2914.0
S01010260,City Centre East - 02,Glasgow City,4327.0,4694.0,3172,4866,579.0
S01010261,City Centre East - 03,Glasgow City,3473.0,4436.0,3967,3390,2779.0
S01010262,City Centre East - 04,Glasgow City,230.0,308.0,3229,182,22.0
S01010263,City Centre East - 05,Glasgow City,5432.0,5827.0,3966,5868,464.0
S01010264,City Centre East - 06,Glasgow City,2696.0,2422.0,72,3178,20.0
S01010265,City Centre East - 07,Glasgow City,6951.0,6962.0,6715,6971,137.0
S01010266,City Centre West - 01,Glasgow City,4246.0,5920.0,1508,5572,93.0
S01010267,City Centre West - 02,Glasgow City,4553.0,2883.0,3295,5542,40.0
S01010268,City Centre West - 03,Glasgow City,3404.0,3708.0,4167,3421,1950.0
S01010269,City Centre West - 04,Glasgow City,3393.0,4176.0,3290,3715,1107.0
S01010270,City Centre West - 05,Glasgow City,432.0,369.0,1725,253,369.0
S01010271,City Centre West - 06,Glasgow City,2507.5,3539.0,1587,2792,14.0
S01010272,City Centre South - 01,Glasgow City,1000.0,970.0,735,1269,497.0
S01010273,City Centre South - 02,Glasgow City,5907.0,6220.0,5698,6939,86.0
S01010274,City Centre South - 03,Glasgow City,6478.0,6529.0,2098,6585,3.0
S01010275,City Centre South - 04,Glasgow City,6233.0,6255.0,6065,6231,1.0
S01010276,Anderston - 01,Glasgow City,6925.0,6891.0,2850,6920,2421.0
S01010277,Anderston - 02,Glasgow City,887.0,796.0,777,731,1911.0
S01010278,Anderston - 03,Glasgow City,672.0,1407.0,1783,1263,3706.0
S01010279,Anderston - 04,Glasgow City,1224.0,1459.0,3454,987,1649.0
S01010280,Anderston - 05,Glasgow City,3963.0,4492.0,4281,4468,1642.0
S01010281,Anderston - 06,Glasgow City,4501.0,4864.0,5719,6321,2427.0
S01010282,Finnieston and Kelvinhaugh - 01,Glasgow City,1120.5,1413.0,2339,1112,3123.0
S01010283,Finnieston and Kelvinhaugh - 02,Glasgow City,4537.0,6053.0,2767,4634,193.0
S01010284,Finnieston and Kelvinhaugh - 03,Glasgow City,5904.0,6364.0,4724,6070,3240.0
S01010285,Finnieston and Kelvinhaugh - 04,Glasgow City,2560.0,3108.0,3259,2955,1341.0
S01010286,Finnieston and Kelvinhaugh - 05,Glasgow City,6357.0,6828.0,3066,6895,5368.0
S01010287,Finnieston and Kelvinhaugh - 06,Glasgow City,5444.0,5854.0,6034,5820,1201.0
S01010288,Finnieston and Kelvinhaugh - 07,Glasgow City,5871.0,6581.0,6603,6849,2538.0
S01010289,Woodlands - 01,Glasgow City,6740.0,6665.0,6486,6822,2454.0
S01010290,Woodlands - 02,Glasgow City,3114.0,4002.0,3449,2860,2052.0
S01010291,Woodlands - 03,Glasgow City,3905.0,4581.0,6201,4190,2858.0
S01010292,Woodlands - 04,Glasgow City,5696.0,6460.0,5633,6590,4360.0
S01010293,Woodlands - 05,Glasgow City,2855.0,4702.0,4759,3780,4865.0
S01010294,Woodlands - 06,Glasgow City,4811.0,6499.5,4567,6148,3519.0
S01010295,Woodlands - 07,Glasgow City,4170.0,5569.0,3827,5934,2497.0
S01010296,Woodlands - 08,Glasgow City,1295.5,2315.0,1565,2222,859.0
S01010297,Woodside - 01,Glasgow City,952.0,577.0,4557,873,275.0
S01010298,Woodside - 02,Glasgow City,917.0,1437.0,2720,752,2286.0
S01010299,Woodside - 03,Glasgow City,680.0,805.0,2730,813,3253.0
S01010300,Woodside - 04,Glasgow City,1483.0,2066.0,1251,721,1437.0
S01010301,Firhill - 01,Glasgow City,4017.5,4682.0,4263,5469,2192.0
S01010302,Firhill - 02,Glasgow City,965.0,1105.5,1781,1730,2521.0
S01010303,Firhill - 03,Glasgow City,975.0,1243.0,1698,2496,1253.0
S01010304,Firhill - 04,Glasgow City,392.0,419.0,153,77,952.0
S01010305,Firhill - 05,Glasgow City,635.0,1247.0,2788,640,831.0
S01010306,Firhill - 06,Glasgow City,3611.0,3794.0,5027,3999,1304.0
S01010307,Firhill - 07,Glasgow City,4949.0,5911.0,6481,6465,1901.0
S01010308,Firhill - 08,Glasgow City,3969.0,4486.0,4295,4568,2758.0
S01010309,Keppochhill - 01,Glasgow City,1175.0,1333.0,305,1248,2385.0
S01010310,Keppochhill - 02,Glasgow City,464.0,428.0,818,425,1100.0
S01010311,Keppochhill - 03,Glasgow City,183.0,349.0,117,150,154.0
S01010312,Keppochhill - 04,Glasgow City,13.0,20.0,788,8,706.0
S01010313,Keppochhill - 05,Glasgow City,63.0,116.0,695,79,1656.0
S01010314,Keppochhill - 06,Glasgow City,860.0,1117.0,569,610,1020.0
S01010315,Ruchill - 01,Glasgow City,1098.0,2425.0,1480,2176,3491.0
S01010316,Ruchill - 02,Glasgow City,136.0,212.0,447,203,708.0
S01010317,Ruchill - 03,Glasgow City,2837.0,3598.0,3386,2373,999.0
S01010318,Ruchill - 04,Glasgow City,2254.0,3218.0,1093,2317,2283.0
S01010319,Ruchill - 05,Glasgow City,2805.0,3065.0,1344,3161,772.0
S01010320,Ruchill - 06,Glasgow City,1370.0,1248.0,653,1699,525.0
S01010321,Ruchill - 07,Glasgow City,1298.0,1908.0,3144,659,120.0
S01010322,Ruchill - 08,Glasgow City,5561.0,5502.5,6567,5382,2515.0
S01010323,Possil Park - 01,Glasgow City,1.0,6.0,328,1,291.0
S01010324,Possil Park - 02,Glasgow City,460.0,627.0,773,198,825.0
S01010325,Possil Park - 03,Glasgow City,395.0,497.0,580,251,3151.0
S01010326,Possil Park - 04,Glasgow City,21.0,54.0,47,33,134.0
S01010327,Possil Park - 05,Glasgow City,1030.0,1140.0,1273,165,1512.0
S01010328,Possil Park - 06,Glasgow City,1951.0,2499.0,1882,1167,738.0
S01010329,Possil Park - 07,Glasgow City,1799.0,1718.0,1187,2097,3351.0
S01010330,Milton West - 01,Glasgow City,114.0,138.0,39,82,1027.0
S01010331,Milton West - 02,Glasgow City,215.0,129.0,298,181,1441.0
S01010332,Milton West - 03,Glasgow City,81.0,233.0,152,63,199.0
S01010333,Milton West - 04,Glasgow City,309.0,340.0,1446,195,648.0
S01010334,Milton West - 05,Glasgow City,1281.0,1646.0,1782,1341,2436.0
S01010335,Milton East - 01,Glasgow City,526.0,612.0,816,153,1905.0
S01010336,Milton East - 02,Glasgow City,119.0,50.0,66,68,892.0
S01010337,Milton East - 03,Glasgow City,269.0,351.0,431,130,1989.0
S01010338,Milton East - 04,Glasgow City,225.0,214.0,16,81,1187.0
S01010339,Milton East - 05,Glasgow City,1105.0,1127.0,1606,1053,4202.0
S01010340,Summerston Central and West - 01,Glasgow City,473.0,819.0,1973,988,2472.0
S01010341,Summerston Central and West - 02,Glasgow City,2486.0,2701.0,3815,2504,3900.0
S01010342,Summerston Central and West - 03,Glasgow City,4287.0,4040.0,4150,3762,4923.0
S01010343,Summerston Central and West - 04,Glasgow City,5339.0,4559.0,4176,3859,4781.0
S01010344,Summerston Central and West - 05,Glasgow City,58.0,46.0,123,116,1628.0
S01010345,Summerston Central and West - 06,Glasgow City,5185.0,5494.0,5749,5832,4057.0
S01010346,Summerston North - 01,Glasgow City,3704.0,3833.0,3964,3252,3300.0
S01010347,Summerston North - 02,Glasgow City,550.0,593.0,704,421,2058.0
S01010348,Summerston North - 03,Glasgow City,1960.0,1762.0,2077,1047,4542.0
S01010349,Summerston North - 04,Glasgow City,1094.0,1503.0,1745,986,2015.0
S01010350,Maryhill East - 01,Glasgow City,350.0,637.0,1175,508,2627.0
S01010351,Maryhill East - 02,Glasgow City,1548.0,2155.0,1682,2656,2556.0
S01010352,Maryhill East - 03,Glasgow City,391.0,400.0,582,657,2019.0
S01010353,Maryhill East - 04,Glasgow City,102.0,58.0,323,162,388.0
S01010354,Maryhill West - 01,Glasgow City,652.0,919.5,1560,381,2068.0
S01010355,Maryhill West - 02,Glasgow City,552.0,509.0,1003,222,910.0
S01010356,Maryhill West - 03,Glasgow City,1405.0,1676.0,2815,2497,865.0
S01010357,Maryhill West - 04,Glasgow City,273.0,63.0,1327,149,1449.0
S01010358,Wyndford - 01,Glasgow City,157.0,76.0,636,218,236.0
S01010359,Wyndford - 02,Glasgow City,84.0,152.0,311,404,218.0
S01010360,Wyndford - 03,Glasgow City,332.0,756.0,724,486,646.0
S01010361,Wyndford - 04,Glasgow City,185.0,32.0,506,297,216.0
S01010362,Wyndford - 05,Glasgow City,27.0,2.0,338,87,71.0
S01010363,Kelvindale - 01,Glasgow City,3614.0,3550.0,5854,4307,4534.0
S01010364,Kelvindale - 02,Glasgow City,5727.5,5842.0,6763,5787,4147.5
S01010365,Kelvindale - 03,Glasgow City,5837.0,6388.0,6806,5631,4031.0
S01010366,Kelvindale - 04,Glasgow City,5679.0,5571.0,5841,5102,6224.0
S01010367,Kelvindale - 05,Glasgow City,6375.0,6716.0,6345,6677,4392.0
S01010368,Kelvindale - 06,Glasgow City,5430.0,6402.0,6851,5479,2927.0
S01010369,North Kelvin - 01,Glasgow City,2885.0,2795.0,4944,3159,2234.0
S01010370,North Kelvin - 02,Glasgow City,6042.0,6375.0,6713,6629,2840.0
S01010371,North Kelvin - 03,Glasgow City,5262.0,5836.0,5907,6407,1619.0
S01010372,North Kelvin - 04,Glasgow City,6127.0,6707.0,6868,6704,2020.0
S01010373,North Kelvin - 05,Glasgow City,5079.0,5139.0,6359,5202,3128.0
S01010374,Kelvingrove and University - 01,Glasgow City,6872.0,6763.0,6849,6889,5928.0
S01010375,Kelvingrove and University - 02,Glasgow City,5362.5,5819.0,6287,6513,314.0
S01010376,Kelvingrove and University - 03,Glasgow City,4990.0,5679.0,6239,5878,3113.0
S01010377,Kelvingrove and University - 04,Glasgow City,4711.5,5884.0,4763,6619,2212.0
S01010378,Kelvingrove and University - 05,Glasgow City,5253.0,5215.0,6353,5284,2834.0
S01010379,Kelvingrove and University - 06,Glasgow City,3884.0,4160.0,3922,3940,752.0
S01010380,Kelvingrove and University - 07,Glasgow City,4689.0,5018.0,5512,4501,4459.0
S01010381,Hillhead - 01,Glasgow City,5127.0,5478.0,4909,4735,1637.0
S01010382,Hillhead - 02,Glasgow City,3310.0,3741.0,3853,3430,2647.0
S01010383,Hillhead - 03,Glasgow City,1048.0,791.0,2162,740,1431.0
S01010384,Hillhead - 04,Glasgow City,5737.0,6508.0,6330,6142,1798.0
S01010385,Hillhead - 05,Glasgow City,3256.0,3492.0,2286,3276,4395.0
S01010386,Hillhead - 06,Glasgow City,987.0,1350.0,1849,696,1042.0
S01010387,Hillhead - 07,Glasgow City,3465.0,4278.0,3185,3134,1855.0
S01010388,Glasgow Harbour and Partick South - 01,Glasgow City,1003.0,1044.0,1872,703,1136.0
S01010389,Glasgow Harbour and Partick South - 02,Glasgow City,6302.0,6573.0,4650,6707,4856.5
S01010390,Glasgow Harbour and Partick South - 03,Glasgow City,2787.0,2728.0,4027,3126,2730.0
S01010391,Glasgow Harbour and Partick South - 04,Glasgow City,2212.0,1923.0,2297,2704,2091.0
S01010392,Glasgow Harbour and Partick South - 05,Glasgow City,6083.5,6824.0,6039,6968,4584.0
S01010393,Partick - 01,Glasgow City,3986.0,4883.0,3984,3603,2695.0
S01010394,Partick - 02,Glasgow City,262.0,113.0,2356,274,1718.0
S01010395,Partick - 03,Glasgow City,2003.0,2916.0,3119,2509,3139.0
S01010396,Partick - 04,Glasgow City,2566.0,3305.0,4444,2225,3455.0
S01010397,Partickhill and Hyndland - 01,Glasgow City,4174.0,5339.0,5934,4594,4612.0
S01010398,Partickhill and Hyndland - 02,Glasgow City,5594.5,6007.0,6815,5239,2714.0
S01010399,Partickhill and Hyndland - 03,Glasgow City,6746.0,6733.0,6712,6896,4669.0
S01010400,Partickhill and Hyndland - 04,Glasgow City,6230.0,6484.0,6651,6393,2654.0
