Planning Authority,Site Name,Address,East,North,Site Size,Site Type,Period when site became Vacant or Derelict,Datazone,lon,lat,Start Year
Glasgow City,,S OF 9 SANDBANK STREET.,256707,668912,0.24,Vacant Land,1980 or earlier,S01010356,-4.292891806759172,55.891951920103224,1980
Glasgow City,,CONISBOROUGH RD/ BALCURVIE ROAD.,266980,666597,0.29,Vacant Land,1991-1995,S01010117,-4.127616515755384,55.87411492476205,1991
Glasgow City,,CRAIGENDMUIR STREET,262616,666714,0.87,Vacant Land,1991-1995,S01010180,-4.197368437319657,55.87394048920839,1991
Glasgow City,,NORTH OF 67 COLLINA STREET,256377,668988,1.88,Derelict,1980 or earlier,S01010361,-4.2982042350840315,55.89253587620027,1980
Glasgow City,HOLMBYRE TERRACE,HOLMBYRE TERRACE,259166,658579,0.17,Vacant Land,1991-1995,S01009971,-4.248241709971182,55.79990830973741,1991
Glasgow City,TORYGLEN PITCHES,NORTH OF PROSPECTHILL RD/ AIKENHEAD RD,259606,661867,1.26,Vacant Land,2001-2004,S01010021,-4.242926763254624,55.82955627109702,2001
Glasgow City,,PROSPECTHILL RD/ BOLIVAR TERRACE/ HANGINGSHAW P,259189,661694,2.42,Vacant Land,1991-1995,S01009902,-4.249488615253863,55.827881563657655,1991
Glasgow City,,REAR OF 34-50 VAILA STREET.,257793,669336,4.56,Derelict,1980 or earlier,S01010351,-4.275764572731394,55.8960805225921,1980
Glasgow City,,MELBOURNE STREET /GRAHAM SQUARE,260573,664892,0.55,Vacant Land,1991-1995,S01010254,-4.229056392650073,55.85699544513639,1991
Glasgow City,,DALMARNOCK ROAD/ BARTHOLEMEW ST.,261161,663324,0.36,Vacant Land,2010,S01010053,-4.218867790271502,55.84308743194727,2010
Glasgow City,,S OF 6 VAILA PL.,258018,669237,9.91,Derelict,1980 or earlier,S01010351,-4.272117557306625,55.895258149378805,1980
Glasgow City,99 DRAKEMIRE DRIVE,99 DRAKEMIRE DRIVE.,259132,659151,0.27,Vacant Land,1991-1995,S01009972,-4.249079818799951,55.805033834781476,1991
Glasgow City,M'OWSIDE GRANARY,SOUTH STREET,254531,666509,7.17,Vacant Land,1991-1995,S01010391,-4.326363710504617,55.86972652009323,1991
Glasgow City,,DYKE ROAD/ LANGHOLM STREET,251790,668457,0.24,Vacant Land,1991-1995,S01010438,-4.371193110863904,55.88637867012205,1991
Glasgow City,LADYLOAN P.S.,LADYLOAN AVENUE,251806,672039,0.7,Derelict,1991-1995,S01010497,-4.372901067752038,55.918539622642534,1991
Glasgow City,,2235 BALMORE ROAD.,258218,670345,0.18,Derelict,1981-1985,S01010345,-4.269503060352667,55.90526447454147,1981
Glasgow City,,346-372 LIDDESDALE ROAD,259631,669331,0.25,Vacant Land,1991-1995,S01010332,-4.24639404033922,55.8965751800592,1991
Glasgow City,,KILLEARN STREET/ STONYHURST ST/ BYSHOT PATH,259607,667607,1.41,Vacant Land,1991-1995,S01010221,-4.2458829529017565,55.88109022913874,1991
Glasgow City,,2-28 BYSHOT STREET,259736,667657,0.79,Vacant Land,1991-1995,S01010224,-4.243848457913869,55.88157671674947,1991
Glasgow City,,2-28 ALLANDER STREET,259612,667751,0.67,Vacant Land,1991-1995,S01010224,-4.245877776717897,55.88238451055983,1991
Glasgow City,,N'TH OF COWLAIRS ROAD.,260263,667744,0.98,Derelict,1991-1995,S01010223,-4.235475916531426,55.88251101245633,1991
Glasgow City,,97-103 HYDEPARK STREET,257839,665200,1.75,Vacant Land,1991-1995,S01010276,-4.27285800523507,55.85896203235492,1991
