Datazone,dist_km,Income_Domain_Rank,Employment_Domain_Rank,Education_Domain_Rank,Health_Domain_Rank,Crime_Domain_Rank,Access_Domain_Rank
S01009895,0.47189280755636054,327.0,281.0,181,347,768.0,6025
S01009896,0.2821847898118009,603.0,495.0,834,556,2001.0,6070
S01009897,0.5907980757921791,1767.0,2276.0,2370,1826,1284.0,6376
S01009898,0.5014190727547385,594.0,930.0,1186,310,1343.0,5923
S01009899,0.3793759954453647,2946.0,2426.0,3607,2753,2956.0,5308
S01009900,0.2943247957263297,4306.0,5073.0,4144,5048,4293.0,5936
S01009901,0.1634985952108704,5014.0,5522.0,6451,5446,2088.0,5263
S01009902,0.2441111581854606,1470.5,1242.0,3273,1116,2196.0,6311
S01009903,0.2761310170562916,2261.0,2970.0,4399,2302,1211.0,5636
S01009904,0.22701950018193007,3035.0,4329.0,5783,2876,462.0,5529
S01009905,0.46532119774331904,1571.0,2920.0,678,3155,176.0,5447
S01009906,0.6176787806288407,2550.5,3754.0,902,3935,419.0,6527
S01009907,0.46649043194029804,1235.0,1122.0,936,1745,662.0,6619
S01009908,0.603152418895986,3912.0,4119.0,4955,4821,1153.0,5271
S01009909,0.5685757184856101,3566.0,2760.0,3788,3816,754.0,6429
S01009910,0.5493553733407359,4648.5,4615.5,3088,4746,704.0,5911
S01009911,0.24516955227405737,4548.0,5452.0,6595,3764,2866.0,5926
S01009912,0.5564752066932833,3707.0,5092.0,4683,3215,1193.0,5684
S01009913,1.1757426034382654,5459.0,6217.0,4255,5187,1269.0,1523
S01009914,0.9034671642279417,4900.5,5659.0,4810,6139,3607.0,2045
S01009915,0.2421083008554231,4522.0,5500.0,5131,5363,1834.0,4562
S01009916,0.6094177429725336,3976.0,4298.0,4551,4586,4733.0,3008
S01009917,0.4723752065092587,5819.0,6405.0,6448,5855,4388.0,6535
S01009918,0.4560127680906206,5097.0,5002.0,6183,5639,4543.0,6674
S01009919,0.4755969379950055,2328.0,2789.0,2596,3010,635.0,6224
S01009920,0.14213542674565383,4821.0,5447.0,3836,5067,3556.0,6365
S01009921,0.27396889536012525,4457.0,4031.0,2506,4087,1521.0,6460
S01009922,0.47715574554969153,5129.0,5375.0,5200,5698,4051.0,6490
S01009923,0.5743924803316867,3687.0,4199.0,6223,3664,3561.0,5242
S01009924,0.5191198482179001,2815.0,3073.0,3778,3748,1931.0,6624
S01009925,0.6884038609318238,4441.5,4599.0,5594,4356,2077.0,6932
S01009926,0.6832140249591071,3627.5,4954.0,4309,4669,2856.0,6299
S01009927,0.8465592768012875,2797.0,2979.0,4596,3228,3028.0,4111
S01009928,0.5407737499841119,5810.0,5955.0,6618,5629,5871.0,3488
S01009929,0.30887457895755477,4758.0,6071.0,6131,4619,5003.0,4764
S01009930,0.32730008814847295,3521.0,4346.0,5840,4783,2595.0,5536
S01009931,0.725556910725972,5797.0,6140.5,5942,6555,3812.0,6089
S01009932,0.6728230583762428,3484.0,4193.0,5706,3885,3791.0,6105
S01009933,0.24481298989480174,525.0,457.0,3147,939,1116.0,5754
S01009934,0.41479025446646084,4331.0,4456.0,5572,5243,1830.0,6153
S01009935,0.08221564267807653,129.0,74.0,484,94,1028.0,5996
S01009936,0.2564801123424632,593.0,404.0,3527,507,1488.0,6761
S01009937,0.7798779747885098,1948.0,2882.0,1378,2852,214.0,4731
S01009938,0.41473294696583285,752.0,377.0,2202,496,1128.0,3991
S01009939,0.47899022713576206,103.0,52.0,27,792,487.0,2339
S01009940,0.2688431640540524,82.0,67.5,121,148,625.0,5851
S01009941,0.4676766227038076,2559.0,3905.0,3261,4303,5769.0,3220
S01009942,0.7153607141892405,491.0,433.0,789,542,1131.0,4007
S01009943,0.4916267091175721,126.0,209.0,568,106,260.0,6872
S01009944,1.0541991405533864,1765.5,2073.0,2647,1628,1886.0,4396
S01009945,0.4942480159892282,406.0,675.0,1912,1173,1588.0,3231
S01009946,0.36336182699911956,1625.0,2433.0,2132,2155,2668.0,2449
S01009947,0.8408938489316247,1832.0,1847.0,2549,1846,5045.0,4952
S01009948,0.6138335724461097,313.0,161.0,2103,604,2290.0,2579
S01009949,0.5277596978131394,1804.0,2806.0,3417,2200,3540.0,5311
S01009950,1.227315911735807,6081.0,6250.0,6589,6339,6301.0,5600
S01009951,1.0513268332299721,6369.0,6560.0,6387,6651,3718.0,4701
S01009952,0.6352248166905842,4571.0,4573.5,6646,4880,4585.0,6148
S01009953,0.744133931977481,4009.0,4618.0,4859,5669,2484.0,4834
S01009954,0.7041329286598232,2033.0,3847.0,5162,3969,598.0,4719
S01009955,0.6316572403453382,2309.0,2868.0,4170,2434,1779.0,6147
S01009956,1.0084255680822058,2094.5,2676.0,3771,3040,4189.0,6022
S01009957,0.9644629327521305,6013.0,5972.5,6853,6316,2452.0,3850
S01009958,0.6339969107926572,6116.0,6180.0,6035,5712,6033.0,3486
S01009959,1.2556506760214212,5755.5,6166.0,6257,5374,5916.0,4362
S01009960,1.0986476938756458,4089.0,5078.0,6738,4243,6214.0,5496
S01009961,0.8091601673261068,4074.0,4130.0,5021,3701,1373.0,6390
S01009962,0.8386461179476253,3167.5,3111.0,5174,3495,5235.0,6833
S01009963,0.6200328508630816,6026.0,4925.0,6528,5097,5768.0,5896
S01009964,0.3133886870727136,4598.0,4686.0,5795,4635,4415.0,6203
S01009965,0.5301105991158567,5011.0,4035.0,5874,3851,3983.5,5175
S01009966,0.7479997194887542,6257.0,4941.0,5620,5047,5508.0,5300
S01009967,0.5537271579928972,4870.0,5366.0,6773,5732,3069.0,4062
S01009968,0.8945709757575359,4029.5,3360.0,4653,3647,4006.0,6434
S01009969,1.2528577802013905,5926.0,6178.5,5892,5649,5119.0,1579
S01009970,0.38488699177127,187.0,356.0,533,473,2202.0,5711
S01009971,0.10361677200556306,494.0,394.0,702,451,1477.0,2345
S01009972,0.3694717438622203,1699.5,2477.0,3661,2057,702.0,2477
S01009973,0.2001164517248448,2591.5,3027.0,2756,2906,4856.5,3818
S01009974,0.24919113258967884,161.0,365.0,456,364,1879.0,5933
S01009975,0.3790210653464076,16.0,28.0,126,17,461.0,4454
S01009976,0.12465936028376602,29.0,51.0,112,36,5403.0,4691
S01009977,0.1903772409958669,28.0,14.0,274,39,829.0,4812
S01009978,0.5202155979778411,143.0,319.0,128,117,1968.0,3810
S01009979,0.44393616150388193,172.0,53.0,61,883,1468.0,5615
S01009980,0.37532064610497556,35.0,94.0,538,7,256.0,5959
S01009981,0.17665229024992385,196.0,289.0,1007,110,2064.0,3798
S01009982,0.7595774998796164,779.0,598.0,1147,236,1279.0,3807
S01009983,0.5237296015808159,72.0,267.0,111,225,1001.0,3000
S01009984,0.5888983607671338,692.0,1558.0,1620,1847,1300.0,2797
S01009985,0.30611708163484114,54.0,158.0,361,168,642.0,3103
S01009986,0.6573470681946048,47.0,97.0,230,267,921.0,6717
S01009987,0.5326172584434338,509.0,853.0,1871,470,2417.0,6214
S01009988,0.6968794143219055,135.0,181.0,1025,417,3773.0,6808
S01009989,0.7670202708642765,2503.0,1988.0,1226,2006,3413.0,6864
S01009990,0.9385766467160147,2782.0,2898.5,3195,3196,4182.0,6678
S01009991,0.7714697066245625,2340.0,3138.0,1805,3289,4829.0,5909
S01009992,0.5494656253502241,401.0,518.0,1104,513,890.0,5322
S01009993,1.1693199627875581,3067.0,4033.0,3340,3843,3632.0,4020
S01009994,1.0901454559039956,3564.0,4072.0,3070,3994,4087.0,5641
S01009995,1.353808145856665,3452.0,3727.0,2588,3612,2806.0,4759
S01009996,1.0069507139125649,2252.0,3726.0,2272,3069,3411.0,6397
S01009997,1.3530880095345894,3203.0,3791.5,2535,3594,3612.0,3826
S01009998,0.7871495588730024,4017.5,4356.0,4573,3961,1687.0,5860
S01009999,0.9828287935737487,4619.0,5121.0,3823,4840,5014.0,4767
S01010000,0.6685105786881904,3568.0,3459.0,3216,2733,3039.0,5990
S01010001,1.0698147341228867,2478.0,3489.0,2968,3218,2623.0,5867
S01010002,0.4761355923365845,3149.0,3182.0,3809,3043,3918.0,5884
S01010003,0.6774857539749601,4473.0,4090.0,4381,3960,4147.5,4993
S01010004,0.6621796412779323,4989.0,5149.0,6197,5134,3371.0,5126
S01010005,0.5071084025835629,2134.0,1662.0,2635,1411,2331.0,6408
S01010006,0.521557237074569,2278.0,2362.0,2998,2654,4324.0,6034
S01010007,0.6285669070671686,4154.0,4659.0,6117,4289,3981.0,6437
S01010008,0.24495321251122035,3011.0,2391.0,469,1854,3076.0,5873
S01010009,0.3678683059245996,1955.0,1261.0,3486,2333,1552.0,6512
S01010010,0.43917659573086537,4083.0,4854.0,6007,4312,2735.0,4384
S01010011,0.45503102970169274,956.0,1392.0,3106,759,2199.0,6742
S01010012,0.5366696958648877,4053.0,3891.0,3475,4215,4659.0,6184
S01010013,0.3840934269585704,1676.0,1789.0,3662,2583,479.0,6800
S01010014,0.40067177197197423,2756.0,3210.0,4088,3583,2106.0,6850
S01010015,0.23514908121054634,3714.0,3776.0,4014,3913,3160.0,6865
S01010016,0.7796199033782956,1183.0,1725.0,2595,1261,4078.0,5910
S01010017,0.7920405705881226,632.0,804.0,1115,965,2828.0,5880
S01010018,0.489585580999922,1086.0,1362.0,1920,1391,1650.0,6298
S01010019,0.5715573068492982,80.0,104.0,299,51,473.0,4655
S01010020,0.4090468018369614,1360.0,1601.0,2233,1224,3144.0,5435
S01010021,0.23912515652761251,498.0,1198.0,875,233,31.0,2941
S01010022,0.5604265306289634,1691.0,2400.0,609,2421,1174.0,1749
S01010023,0.08602062018125166,11.0,40.0,870,41,714.0,3771
S01010024,0.507195590777794,568.0,541.0,1728,326,674.0,5357
S01010025,0.17994843356825097,346.0,148.0,1674,345,516.0,4348
S01010026,0.4146142126081617,531.0,662.0,1342,695,545.0,5693
